method,train_size,balanced_accuracy,macro_f1,mcc,g_mean,log_loss,brier,rps,precision_H,recall_H,f1_H,precision_D,recall_D,f1_D,precision_A,recall_A,f1_A,train_season,test_season
Vanilla,17,0.5076923076923077,0.4604774535809019,0.3277992444889537,0.3587037905349503,1.9897263827106484,0.6083928315412188,0.17622724014336918,0.75,0.9230769230769231,0.8275862068965517,0.3333333333333333,0.5,0.4,0.3333333333333333,0.1,0.15384615384615385,2017/2018,2018/2019
ClassWeight,17,0.466025641025641,0.42714412024756854,0.2751475523689663,0.3259040222540022,1.076355870688921,0.6125792114695343,0.1777813620071685,0.75,0.9230769230769231,0.8275862068965517,0.25,0.375,0.3,0.3333333333333333,0.1,0.15384615384615385,2017/2018,2018/2019
SMOTE,17,0.41602564102564105,0.3959601081812035,0.2017271887168033,0.2847033872200804,1.0318307367685504,0.609058064516129,0.17628172043010756,0.75,0.9230769230769231,0.8275862068965517,0.125,0.125,0.125,0.2857142857142857,0.2,0.23529411764705882,2017/2018,2018/2019
BorderlineSMOTE,17,0.41602564102564105,0.3959601081812035,0.2017271887168033,0.2847033872200804,1.0318307367685504,0.609058064516129,0.17628172043010756,0.75,0.9230769230769231,0.8275862068965517,0.125,0.125,0.125,0.2857142857142857,0.2,0.23529411764705882,2017/2018,2018/2019
GMMSampling,21,0.4237179487179487,0.4146825396825397,0.20391019202005256,0.31658733244755266,0.9725969402145468,0.6015942652329751,0.17343440860215054,0.7333333333333333,0.8461538461538461,0.7857142857142857,0.125,0.125,0.125,0.375,0.3,0.3333333333333333,2017/2018,2018/2019
DummyPrior,17,0.3333333333333333,0.196969696969697,0.0,1.0000000000000018e-08,1.239327830401112,0.7433865386761915,0.27145886817725196,0.41935483870967744,1.0,0.5909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,2017/2018,2018/2019
Vanilla,31,0.4791666666666667,0.45500848896434637,0.34750996411403695,7.978130373574882e-05,0.8622694039724564,0.5103940740740741,0.16008074074074072,0.8666666666666667,0.8125,0.8387096774193549,0.0,0.0,0.0,0.45454545454545453,0.625,0.5263157894736842,2018/2019,2019/2020
ClassWeight,31,0.4930555555555555,0.4919881931267131,0.3484854734952257,0.40758110387572904,0.8230089548023215,0.4829718518518519,0.152377037037037,0.8666666666666667,0.8125,0.8387096774193549,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.4444444444444444,0.5,0.47058823529411764,2018/2019,2019/2020
SMOTE,31,0.4930555555555555,0.4919881931267131,0.3484854734952257,0.40758110387572904,0.8798030442204609,0.510162962962963,0.1587,0.8666666666666667,0.8125,0.8387096774193549,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.4444444444444444,0.5,0.47058823529411764,2018/2019,2019/2020
BorderlineSMOTE,31,0.4930555555555555,0.4919881931267131,0.3484854734952257,0.40758110387572904,0.8930575078151101,0.5224533333333333,0.16335333333333332,0.8666666666666667,0.8125,0.8387096774193549,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.4444444444444444,0.5,0.47058823529411764,2018/2019,2019/2020
ADASYN,31,0.548611111111111,0.5525857654889913,0.4087340621950815,0.51352001231242,0.8367731923410382,0.47966222222222227,0.1487888888888889,0.8666666666666667,0.8125,0.8387096774193549,0.25,0.3333333333333333,0.2857142857142857,0.5714285714285714,0.5,0.5333333333333333,2018/2019,2019/2020
GMMSampling,33,0.5208333333333334,0.47956989247311826,0.40533961419994047,8.478028607535425e-05,0.9545937958702183,0.5100296296296296,0.15898518518518517,0.8666666666666667,0.8125,0.8387096774193549,0.0,0.0,0.0,0.5,0.75,0.6,2018/2019,2019/2020
