selection_step,candidate_group,fold,n_train,n_validation,rps,log_loss,accuracy,balanced_accuracy
1,core_form,dev_2018_19,17,31,0.15510666849891244,0.8724200900494812,0.6451612903225806,0.5993589743589743
1,core_form,dev_2019_20,48,30,0.16600191088650498,0.8650321627275435,0.6333333333333333,0.5416666666666666
2,style,dev_2018_19,17,31,0.15040030215476619,0.9008188312082009,0.7096774193548387,0.6743589743589743
2,style,dev_2019_20,48,30,0.14128887744764165,0.7590339557066303,0.7,0.6041666666666666
2,defense_setpiece,dev_2018_19,17,31,0.1719933986506586,0.9986614845455939,0.6129032258064516,0.5660256410256411
2,defense_setpiece,dev_2019_20,48,30,0.15332672366349256,0.8189014683379798,0.7,0.6041666666666666
2,short_form,dev_2018_19,17,31,0.15468832134984753,0.8920972161639882,0.5806451612903226,0.5487179487179487
2,short_form,dev_2019_20,48,30,0.17222461051170976,0.8878358213997701,0.6,0.5
2,context,dev_2018_19,17,31,0.1435748908921253,0.8357506126544141,0.6451612903225806,0.5993589743589743
2,context,dev_2019_20,48,30,0.1508282625561335,0.849608877923319,0.7,0.6041666666666666
2,efficiency,dev_2018_19,17,31,0.15441903163191104,0.8962165986444901,0.6129032258064516,0.5743589743589744
2,efficiency,dev_2019_20,48,30,0.14839333630445814,0.7841678683367636,0.6666666666666666,0.5625
3,defense_setpiece,dev_2018_19,17,31,0.17012723240770727,1.045637445914928,0.5806451612903226,0.5237179487179487
3,defense_setpiece,dev_2019_20,48,30,0.14079018136067253,0.7658251673147235,0.7,0.6041666666666666
3,short_form,dev_2018_19,17,31,0.15021394648747458,0.9187607812543943,0.6451612903225806,0.6076923076923078
3,short_form,dev_2019_20,48,30,0.14420899283086852,0.7696111085136281,0.7,0.6041666666666666
3,context,dev_2018_19,17,31,0.14635334532134012,0.889824161403127,0.7096774193548387,0.6743589743589743
3,context,dev_2019_20,48,30,0.14389265970943618,0.7945697313942668,0.7,0.6041666666666666
3,efficiency,dev_2018_19,17,31,0.15361173119152938,0.9316724199473537,0.6129032258064516,0.5660256410256411
3,efficiency,dev_2019_20,48,30,0.14067635002343523,0.7534205279987717,0.7,0.6041666666666666
