match_id,match_date,home_team,away_team,home_key,away_key,reason
15946,2018-08-18,Barcelona,Deportivo Alavés,barcelona,deportivoalaves,No pre-match identity match in odds source (including fuzzy)
15956,2018-08-25,Real Valladolid,Barcelona,realvalladolid,barcelona,No pre-match identity match in odds source (including fuzzy)
15973,2018-09-02,Barcelona,Huesca,barcelona,huesca,No pre-match identity match in odds source (including fuzzy)
15978,2018-09-15,Real Sociedad,Barcelona,realsociedad,barcelona,No pre-match identity match in odds source (including fuzzy)
15986,2018-09-23,Barcelona,Girona,barcelona,girona,No pre-match identity match in odds source (including fuzzy)
15998,2018-09-26,Leganés,Barcelona,leganes,barcelona,No pre-match identity match in odds source (including fuzzy)
16010,2018-09-29,Barcelona,Athletic Club,barcelona,athleticclub,No pre-match identity match in odds source (including fuzzy)
16023,2018-10-07,Valencia,Barcelona,valencia,barcelona,No pre-match identity match in odds source (including fuzzy)
16029,2018-10-20,Barcelona,Sevilla,barcelona,sevilla,No pre-match identity match in odds source (including fuzzy)
16056,2018-11-11,Barcelona,Real Betis,barcelona,betis,No pre-match identity match in odds source (including fuzzy)
16073,2018-11-24,Atlético Madrid,Barcelona,atleticomadrid,barcelona,No pre-match identity match in odds source (including fuzzy)
16079,2018-12-02,Barcelona,Villarreal,barcelona,villareal,No pre-match identity match in odds source (including fuzzy)
16086,2018-12-08,Espanyol,Barcelona,espanyol,barcelona,No pre-match identity match in odds source (including fuzzy)
16095,2018-12-16,Levante UD,Barcelona,levanteud,barcelona,No pre-match identity match in odds source (including fuzzy)
16109,2018-12-22,Barcelona,Celta Vigo,barcelona,celtavigo,No pre-match identity match in odds source (including fuzzy)
16120,2019-01-06,Getafe,Barcelona,getafe,barcelona,No pre-match identity match in odds source (including fuzzy)
16131,2019-01-13,Barcelona,Eibar,barcelona,eibar,No pre-match identity match in odds source (including fuzzy)
16136,2019-01-20,Barcelona,Leganés,barcelona,leganes,No pre-match identity match in odds source (including fuzzy)
16149,2019-01-27,Girona,Barcelona,girona,barcelona,No pre-match identity match in odds source (including fuzzy)
16157,2019-02-02,Barcelona,Valencia,barcelona,valencia,No pre-match identity match in odds source (including fuzzy)
16173,2019-02-10,Athletic Club,Barcelona,athleticclub,barcelona,No pre-match identity match in odds source (including fuzzy)
16182,2019-02-16,Barcelona,Real Valladolid,barcelona,realvalladolid,No pre-match identity match in odds source (including fuzzy)
16190,2019-02-23,Sevilla,Barcelona,sevilla,barcelona,No pre-match identity match in odds source (including fuzzy)
16196,2019-03-02,Real Madrid,Barcelona,realmadrid,barcelona,No pre-match identity match in odds source (including fuzzy)
16205,2019-03-09,Barcelona,Rayo Vallecano,barcelona,rayo,No pre-match identity match in odds source (including fuzzy)
16215,2019-03-17,Real Betis,Barcelona,betis,barcelona,No pre-match identity match in odds source (including fuzzy)
16231,2019-03-30,Barcelona,Espanyol,barcelona,espanyol,No pre-match identity match in odds source (including fuzzy)
16240,2019-04-02,Villarreal,Barcelona,villareal,barcelona,No pre-match identity match in odds source (including fuzzy)
16248,2019-04-06,Barcelona,Atlético Madrid,barcelona,atleticomadrid,No pre-match identity match in odds source (including fuzzy)
16265,2019-04-20,Barcelona,Real Sociedad,barcelona,realsociedad,No pre-match identity match in odds source (including fuzzy)
