task,model,calibration,train_seconds,peak_memory_mb,accuracy,balanced_accuracy,macro_f1,mcc,log_loss,brier,rps,ece,precision_H,recall_H,f1_H,precision_D,recall_D,f1_D,precision_A,recall_A,f1_A,mae,rmse,r2,corr,train_season,test_season,split_index
C,DummyPrior,none,0.0002758000046014786,,0.41935483870967744,0.3333333333333333,0.196969696969697,0.0,1.1444088704322355,0.6864605424712582,0.24299587007478518,0.051233396584440205,0.41935483870967744,1.0,0.5909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2017/2018,2018/2019,1
C,SVC,none,0.0,0.0,0.5161290322580645,0.4903846153846154,0.40683229813664595,0.302155984618606,0.8996364587008905,0.5631625181593454,0.1735676691307309,0.195210585257198,0.7333333333333333,0.8461538461538461,0.7857142857142857,0.3333333333333333,0.625,0.43478260869565216,0.0,0.0,0.0,,,,,2017/2018,2018/2019,1
C,SVC,sigmoid,0.01434960000187857,,0.4838709677419355,0.44871794871794873,0.3778467908902692,0.24737916869359552,0.9240600418111263,0.5622416815698158,0.17261327042120705,0.15887190170213566,0.7333333333333333,0.8461538461538461,0.7857142857142857,0.26666666666666666,0.5,0.34782608695652173,0.0,0.0,0.0,,,,,2017/2018,2018/2019,1
C,SVC,isotonic,0.015912199996819254,,0.4838709677419355,0.44871794871794873,0.3778467908902692,0.24737916869359552,5.84663591828315,0.7610800233746585,0.20863934763410982,0.3610538821275956,0.7333333333333333,0.8461538461538461,0.7857142857142857,0.26666666666666666,0.5,0.34782608695652173,0.0,0.0,0.0,,,,,2017/2018,2018/2019,1
C,RandomForest,none,0.0,0.0,0.5806451612903226,0.5076923076923077,0.457680250783699,0.3498789863457226,0.9429132962323298,0.5887612903225807,0.1698258064516129,0.21451612903225806,0.75,0.9230769230769231,0.8275862068965517,0.0,0.0,0.0,0.5,0.6,0.5454545454545454,,,,,2017/2018,2018/2019,1
C,RandomForest,sigmoid,0.2590598000024329,,0.4838709677419355,0.40769230769230774,0.3811252268602541,0.19582966297323884,0.9138796830181353,0.5523817434203043,0.17145939579602806,0.20242546084772867,0.75,0.9230769230769231,0.8275862068965517,0.0,0.0,0.0,0.3333333333333333,0.3,0.3157894736842105,,,,,2017/2018,2018/2019,1
C,RandomForest,isotonic,0.25730209999892395,,0.6774193548387096,0.6076923076923078,0.5158620689655172,0.5336631063136553,1.9360466184546488,0.5232156746017472,0.15253249381110115,0.12832400010021866,0.75,0.9230769230769231,0.8275862068965517,0.0,0.0,0.0,0.6,0.9,0.72,,,,,2017/2018,2018/2019,1
C,GBM,none,0.0,0.0,0.5483870967741935,0.507051282051282,0.49731800766283524,0.3131612266494128,1.095983165977054,0.6429921532302416,0.1933149004246488,0.16304911002034878,0.6875,0.8461538461538461,0.7586206896551724,0.3,0.375,0.3333333333333333,0.6,0.3,0.4,,,,,2017/2018,2018/2019,1
C,GBM,sigmoid,0.3447311999989324,,0.5161290322580645,0.4730769230769231,0.47785039941902685,0.263677862904507,0.95782761510714,0.5830675954432957,0.18443832016594494,0.09066026135535611,0.7142857142857143,0.7692307692307693,0.7407407407407407,0.2,0.25,0.2222222222222222,0.5714285714285714,0.4,0.47058823529411764,,,,,2017/2018,2018/2019,1
C,GBM,isotonic,0.3431230999995023,,0.5483870967741935,0.507051282051282,0.500501253132832,0.31871015551760357,1.0367959302921606,0.6509980793599958,0.17784464144926818,0.30067688149364,0.7333333333333333,0.8461538461538461,0.7857142857142857,0.2727272727272727,0.375,0.3157894736842105,0.6,0.3,0.4,,,,,2017/2018,2018/2019,1
C,XGBoost,none,0.0,0.0,0.5806451612903226,0.5326923076923077,0.5203065134099617,0.3645262955707451,1.0489342571890012,0.6332015868145761,0.19101430415520465,0.174930816118466,0.75,0.9230769230769231,0.8275862068965517,0.3,0.375,0.3333333333333333,0.6,0.3,0.4,,,,,2017/2018,2018/2019,1
C,XGBoost,sigmoid,0.12350940000033006,,0.4838709677419355,0.44871794871794873,0.3778467908902692,0.24737916869359552,0.9462913774335204,0.580126527414905,0.17772509626401767,0.05126673345721603,0.7333333333333333,0.8461538461538461,0.7857142857142857,0.26666666666666666,0.5,0.34782608695652173,0.0,0.0,0.0,,,,,2017/2018,2018/2019,1
C,XGBoost,isotonic,0.11872120000043651,,0.4838709677419355,0.46410256410256406,0.4492753623188406,0.24663569683246434,2.124469104738884,0.6862770313070962,0.18397521888062793,0.2430115256583375,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.26666666666666666,0.5,0.34782608695652173,0.6666666666666666,0.2,0.3076923076923077,,,,,2017/2018,2018/2019,1
C,LightGBM,none,0.0,0.0,0.41935483870967744,0.3333333333333333,0.196969696969697,0.0,1.1444088704322353,0.6864605424712584,0.24299587007478515,0.051233396584440205,0.41935483870967744,1.0,0.5909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2017/2018,2018/2019,1
C,LightGBM,sigmoid,0.01596609999978682,,0.41935483870967744,0.3333333333333333,0.196969696969697,0.0,1.1121466571121248,0.6719077130346035,0.2362555117741724,0.012605718519765774,0.41935483870967744,1.0,0.5909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2017/2018,2018/2019,1
C,LightGBM,isotonic,0.016272099994239397,,0.41935483870967744,0.3333333333333333,0.196969696969697,0.0,1.143632912830929,0.6861967343687773,0.24261250497809628,0.04731182795698924,0.41935483870967744,1.0,0.5909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2017/2018,2018/2019,1
C,FIGS,none,0.0,0.0,0.4838709677419355,0.4461538461538462,0.42512077294685985,0.22348306673003948,1.0158780982103361,0.6114152028221612,0.1939765323561275,0.08379302468314041,0.7,0.5384615384615384,0.6086956521739131,0.0,0.0,0.0,0.5714285714285714,0.8,0.6666666666666666,,,,,2017/2018,2018/2019,1
C,FIGS,sigmoid,0.09762469999986934,,0.5483870967741935,0.5160256410256411,0.42078960519740133,0.3624537821038136,0.9992622041273705,0.5970380800151109,0.19330322170792247,0.10964775758978262,0.75,0.9230769230769231,0.8275862068965517,0.3333333333333333,0.625,0.43478260869565216,0.0,0.0,0.0,,,,,2017/2018,2018/2019,1
C,FIGS,isotonic,0.09583479999855626,,0.5483870967741935,0.5160256410256411,0.42078960519740133,0.3624537821038136,4.215499941820234,0.6288829151732378,0.19183094384707286,0.18010752688172044,0.75,0.9230769230769231,0.8275862068965517,0.3333333333333333,0.625,0.43478260869565216,0.0,0.0,0.0,,,,,2017/2018,2018/2019,1
R,DummyPrior,none,0.000633100004051812,,,,,,,,,,,,,,,,,,,1.5597722960151805,1.9755170736922532,-0.04411572043988565,0.0,2017/2018,2018/2019,1
R,SVR,none,0.0469401000009384,,,,,,,,,,,,,,,,,,,1.2813291864090246,1.6533497205027334,0.2686647406310425,0.6223064988778286,2017/2018,2018/2019,1
R,KernelRidge,none,0.06958370000211289,,,,,,,,,,,,,,,,,,,1.0980204786650158,1.3873071690190093,0.485088820950922,0.7087476307439894,2017/2018,2018/2019,1
R,KernelRidgeApprox,none,0.08986520000325982,,,,,,,,,,,,,,,,,,,1.2465833826285686,1.550249896495527,0.3570303377888083,0.6274502735274543,2017/2018,2018/2019,1
R,RandomForest,none,2.0278335999973933,,,,,,,,,,,,,,,,,,,1.2000634920634918,1.4793474676074347,0.414499264574113,0.6734769884925556,2017/2018,2018/2019,1
R,GBM,none,1.369891300004383,,,,,,,,,,,,,,,,,,,1.4923517904338315,1.7822168840707668,0.15021674888248782,0.5273472293829128,2017/2018,2018/2019,1
R,XGBoost,none,0.8578063000022667,,,,,,,,,,,,,,,,,,,1.1350131200987004,1.4199490202620897,0.46057314405409755,0.7014776303303766,2017/2018,2018/2019,1
R,LightGBM,none,0.07695329999842215,,,,,,,,,,,,,,,,,,,1.5597722960151805,1.9755170736922532,-0.04411572043988565,0.0,2017/2018,2018/2019,1
R,FIGS,none,0.07117959999595769,,,,,,,,,,,,,,,,,,,1.4838709677419355,1.9344083032987032,-0.00111358574610243,0.0,2017/2018,2018/2019,1
L,DummyPrior,none,0.00017439999646740034,,0.41935483870967744,0.3333333333333333,0.196969696969697,0.0,1.1444088704322353,0.6864605424712579,0.24299587007478513,0.05123339658444015,0.41935483870967744,1.0,0.5909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2017/2018,2018/2019,1
L,SVC,none,0.0,0.0,0.568100358422939,0.5363960113960115,0.46313985901310967,0.38769425351514175,1.7553826146509828,0.7541505473031923,0.21364581449241957,0.3235825216543833,0.75,0.9230769230769231,0.8275862068965517,0.3474903474903475,0.625,0.4466501240694789,1.0,0.06111111111111111,0.11518324607329843,,,,,2017/2018,2018/2019,1
L,SVC,sigmoid,0.03126250000059372,,0.5842293906810035,0.513105413105413,0.46189899921243205,0.35661167214726036,0.9269844929402099,0.5352477573831969,0.16342835941051997,0.04661108066184015,0.7464788732394366,0.905982905982906,0.8185328185328186,0.0,0.0,0.0,0.5135135135135135,0.6333333333333333,0.5671641791044776,,,,,2017/2018,2018/2019,1
L,SVC,isotonic,0.03028460000496125,,0.5913978494623656,0.5188034188034188,0.4649167953336764,0.36837935211021583,2.2535068491402637,0.5501955154646998,0.1643425233486082,0.09201074912963358,0.75,0.9230769230769231,0.8275862068965517,0.0,0.0,0.0,0.5135135135135135,0.6333333333333333,0.5671641791044776,,,,,2017/2018,2018/2019,1
L,RandomForest,none,0.0,0.0,0.45161290322580644,0.4057692307692308,0.41595441595441596,0.16719745222929935,1.090826758769837,0.683705017921147,0.19223575268817203,0.33632616487455197,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.1,0.125,0.1111111111111111,0.5,0.4,0.4444444444444444,,,,,2017/2018,2018/2019,1
L,RandomForest,sigmoid,0.30506140000215964,,0.5161290322580645,0.4743589743589744,0.39707419017763845,0.2938978506849677,0.9197513880434787,0.5776124376147201,0.16795230729829813,0.1016000764531546,0.75,0.9230769230769231,0.8275862068965517,0.2857142857142857,0.5,0.36363636363636365,0.0,0.0,0.0,,,,,2017/2018,2018/2019,1
L,RandomForest,isotonic,0.30287289999978384,,0.4265232974910394,0.41915954415954415,0.34180878741903836,0.1877036736314623,3.108053363859913,0.6564358203049745,0.18394714553573743,0.21341731751241255,0.6727272727272727,0.6324786324786325,0.6519823788546255,0.26627218934911245,0.625,0.37344398340248963,0.0,0.0,0.0,,,,,2017/2018,2018/2019,1
L,GBM,none,0.0,0.0,0.45161290322580644,0.382051282051282,0.3398692810457516,0.12900657233557355,3.701299993439482,0.8771867426762469,0.25834021201489826,0.40839474683717414,0.55,0.8461538461538461,0.6666666666666666,0.0,0.0,0.0,0.42857142857142855,0.3,0.35294117647058826,,,,,2017/2018,2018/2019,1
L,GBM,sigmoid,1.4884191999954055,,0.45161290322580644,0.4544871794871795,0.4337606837606838,0.22396951966829293,1.0590961258744473,0.6549272364630642,0.20346605187470404,0.18869008464327086,0.6363636363636364,0.5384615384615384,0.5833333333333334,0.2777777777777778,0.625,0.38461538461538464,1.0,0.2,0.3333333333333333,,,,,2017/2018,2018/2019,1
L,GBM,isotonic,1.4857267999977921,,0.45161290322580644,0.4230769230769231,0.35802469135802467,0.20183346372341157,1.241232788986643,0.6583312720772874,0.19268443729831064,0.25797969715023256,0.7142857142857143,0.7692307692307693,0.7407407407407407,0.25,0.5,0.3333333333333333,0.0,0.0,0.0,,,,,2017/2018,2018/2019,1
L,XGBoost,none,0.0,0.0,0.45161290322580644,0.38974358974358975,0.3802469135802469,0.15434801730995532,1.4880483173913743,0.7446714349706502,0.2153808585288726,0.3557617475461524,0.7142857142857143,0.7692307692307693,0.7407407407407407,0.0,0.0,0.0,0.4,0.4,0.4,,,,,2017/2018,2018/2019,1
L,XGBoost,sigmoid,0.27717770000163,,0.4838709677419355,0.4647435897435897,0.3802469135802469,0.2688648549523534,1.185729298335303,0.7101086125024778,0.21959520305570407,0.20022595826364287,0.7142857142857143,0.7692307692307693,0.7407407407407407,0.29411764705882354,0.625,0.4,0.0,0.0,0.0,,,,,2017/2018,2018/2019,1
L,XGBoost,isotonic,0.27010210000298684,,0.43548387096774194,0.4102564102564103,0.3478372481067899,0.1792590010638526,1.1592395832767592,0.7298099511155814,0.22211509201686228,0.23279014577054224,0.7037037037037037,0.7307692307692307,0.7169811320754716,0.24242424242424243,0.5,0.32653061224489793,0.0,0.0,0.0,,,,,2017/2018,2018/2019,1
L,LightGBM,none,0.0,0.0,0.44802867383512546,0.4022792022792023,0.3931277056277056,0.15818761971557552,3.5901581345526443,1.0252592865965822,0.2853036635479732,0.49697449505687097,0.6635514018691588,0.6068376068376068,0.6339285714285714,0.0,0.0,0.0,0.5,0.6,0.5454545454545454,,,,,2017/2018,2018/2019,1
L,LightGBM,sigmoid,0.2469375000000582,,0.460573476702509,0.4451210826210826,0.43004475107627615,0.2025704760426612,1.1301277060822046,0.6837038966473358,0.22527761433026006,0.1360108825593844,0.645021645021645,0.6367521367521367,0.6408602150537634,0.2795275590551181,0.4930555555555556,0.35678391959798994,0.5068493150684932,0.20555555555555555,0.2924901185770751,,,,,2017/2018,2018/2019,1
L,LightGBM,isotonic,0.24518990000069607,,0.48566308243727596,0.4510327635327635,0.3808941669577366,0.2475969917017785,0.9666891204272696,0.6068133743809693,0.18747805332215228,0.12932208730627157,0.7333333333333333,0.8461538461538461,0.7857142857142857,0.27547169811320754,0.5069444444444444,0.3569682151589242,0.0,0.0,0.0,,,,,2017/2018,2018/2019,1
L,FIGS,none,0.0,0.0,0.2903225806451613,0.26987179487179486,0.29814771758505776,-0.04538808895874446,1.187946098007341,0.7341556787342054,0.22827782655115977,0.23616654494001527,0.5555555555555556,0.38461538461538464,0.45454545454545453,0.06666666666666667,0.125,0.08695652173913043,0.42857142857142855,0.3,0.35294117647058826,,,,,2017/2018,2018/2019,1
L,FIGS,sigmoid,4.367930799999158,,0.2903225806451613,0.2948717948717949,0.24346917450365724,-0.030507253127467215,1.1671462016535792,0.7184443603467694,0.2363367612363634,0.24841555118755762,0.5555555555555556,0.38461538461538464,0.45454545454545453,0.19047619047619047,0.5,0.27586206896551724,0.0,0.0,0.0,,,,,2017/2018,2018/2019,1
L,FIGS,isotonic,4.3826934000026085,,0.2903225806451613,0.2948717948717949,0.24346917450365724,-0.030507253127467215,1.1693306317476844,0.7218676911345022,0.2371425622434603,0.2624678428691267,0.5555555555555556,0.38461538461538464,0.45454545454545453,0.19047619047619047,0.5,0.27586206896551724,0.0,0.0,0.0,,,,,2017/2018,2018/2019,1
L_reg,DummyPrior,none,0.0006159999975352548,,,,,,,,,,,,,,,,,,,1.5597722960151803,1.9755170736922534,-0.044115720439885875,7.113335459500553e-16,2017/2018,2018/2019,1
L_reg,SVR,none,0.13579939999908675,,,,,,,,,,,,,,,,,,,1.227455675111659,1.4636557896857805,0.42685439083403165,0.6685471234619543,2017/2018,2018/2019,1
L_reg,KernelRidge,none,0.1134539999984554,,,,,,,,,,,,,,,,,,,1.2230562547325128,1.5063831285339953,0.3929031974207893,0.6541948931269678,2017/2018,2018/2019,1
L_reg,KernelRidgeApprox,none,0.1553418000039528,,,,,,,,,,,,,,,,,,,1.2108058121718022,1.4483180128678692,0.43880353875054856,0.66969472978851,2017/2018,2018/2019,1
L_reg,RandomForest,none,6.57389189999958,,,,,,,,,,,,,,,,,,,1.920631313131313,2.3998487296289017,-0.5408302455519205,0.35139063800045933,2017/2018,2018/2019,1
L_reg,GBM,none,7.580891199999314,,,,,,,,,,,,,,,,,,,1.7345595231667665,2.240724263680947,-0.3432717878731708,0.3608552547154357,2017/2018,2018/2019,1
L_reg,XGBoost,none,3.3797607000014978,,,,,,,,,,,,,,,,,,,1.5582643286742297,2.0209374368906294,-0.09267950640224099,0.43125508377928506,2017/2018,2018/2019,1
L_reg,LightGBM,none,1.0188311000019894,,,,,,,,,,,,,,,,,,,1.9770363549298933,2.4232605541210073,-0.5710401548846482,0.32449315630895437,2017/2018,2018/2019,1
L_reg,FIGS,none,10.680891600000905,,,,,,,,,,,,,,,,,,,1.6903655142246805,2.0307140796337255,-0.10327713974581476,0.29017609289218865,2017/2018,2018/2019,1
R_to_C,Margin_to_Class_DummyPrior,none,0.0,0.0,0.41935483870967744,0.3333333333333333,0.196969696969697,0.0,1.158448792505926,0.6924325158826704,0.24500742967362427,0.05379313157679144,0.41935483870967744,1.0,0.5909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2017/2018,2018/2019,1
R_to_C,Margin_to_Class_SVR,none,0.0,0.0,0.5483870967741935,0.5160256410256411,0.42078960519740133,0.3624537821038136,1.0377689717589265,0.617597176444177,0.20140604741804463,0.06939478492833608,0.75,0.9230769230769231,0.8275862068965517,0.3333333333333333,0.625,0.43478260869565216,0.0,0.0,0.0,,,,,2017/2018,2018/2019,1
R_to_C,Margin_to_Class_KernelRidge,none,0.0,0.0,0.5161290322580645,0.4903846153846154,0.40079365079365076,0.31509801157768724,0.8846685522278755,0.533713227183915,0.15766210160559693,0.18394131894104865,0.7333333333333333,0.8461538461538461,0.7857142857142857,0.3125,0.625,0.4166666666666667,0.0,0.0,0.0,,,,,2017/2018,2018/2019,1
R_to_C,Margin_to_Class_KernelRidgeApprox,none,0.0,0.0,0.4838709677419355,0.4647435897435897,0.3802469135802469,0.26886485495235335,1.0008228226518951,0.6089787552877782,0.19396038735771032,0.10638310083288786,0.7142857142857143,0.7692307692307693,0.7407407407407407,0.29411764705882354,0.625,0.4,0.0,0.0,0.0,,,,,2017/2018,2018/2019,1
R_to_C,Margin_to_Class_RandomForest,none,0.0,0.0,0.5483870967741935,0.5160256410256411,0.42078960519740133,0.3624537821038136,0.9689529682965473,0.5760098038033319,0.17124317771442304,0.2502465846614075,0.75,0.9230769230769231,0.8275862068965517,0.3333333333333333,0.625,0.43478260869565216,0.0,0.0,0.0,,,,,2017/2018,2018/2019,1
R_to_C,Margin_to_Class_GBM,none,0.0,0.0,0.5483870967741935,0.5160256410256411,0.42078960519740133,0.3624537821038136,1.132337031895198,0.6488341461778738,0.20970156865533904,0.21925771673780575,0.75,0.9230769230769231,0.8275862068965517,0.3333333333333333,0.625,0.43478260869565216,0.0,0.0,0.0,,,,,2017/2018,2018/2019,1
R_to_C,Margin_to_Class_XGBoost,none,0.0,0.0,0.6129032258064516,0.5743589743589744,0.5590700890156426,0.4236103196095423,0.9421799972024739,0.5547496939027275,0.1711239154113334,0.21113633498142273,0.75,0.9230769230769231,0.8275862068965517,0.36363636363636365,0.5,0.42105263157894735,0.75,0.3,0.42857142857142855,,,,,2017/2018,2018/2019,1
R_to_C,Margin_to_Class_LightGBM,none,0.0,0.0,0.41935483870967744,0.3333333333333333,0.196969696969697,0.0,1.158448792505926,0.6924325158826704,0.24500742967362427,0.05379313157679144,0.41935483870967744,1.0,0.5909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2017/2018,2018/2019,1
R_to_C,Margin_to_Class_FIGS,none,0.0,0.0,0.41935483870967744,0.3333333333333333,0.196969696969697,0.0,1.1443766508355742,0.6864471593326428,0.24298826667604068,0.051187744010674774,0.41935483870967744,1.0,0.5909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2017/2018,2018/2019,1
C,DummyPrior,none,0.00017420000222045928,,0.5333333333333333,0.3333333333333333,0.2318840579710145,0.0,1.0361032140379476,0.6239334027055149,0.23028095733610823,0.11397849462365578,0.5333333333333333,1.0,0.6956521739130435,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2018/2019,2019/2020,2
C,SVC,none,0.0,0.0,0.7,0.6041666666666666,0.5114539504441328,0.5457051563317492,0.8083026870011029,0.4621671423372972,0.1497179468435378,0.12464675383531115,0.8666666666666667,0.8125,0.8387096774193549,0.0,0.0,0.0,0.5333333333333333,1.0,0.6956521739130435,,,,,2018/2019,2019/2020,2
C,SVC,sigmoid,0.014757100005226675,,0.6,0.5,0.44047619047619047,0.3426578042473508,0.8497292965623722,0.4964526853501531,0.16676309436852824,0.17554922840639786,0.75,0.75,0.75,0.0,0.0,0.0,0.46153846153846156,0.75,0.5714285714285714,,,,,2018/2019,2019/2020,2
C,SVC,isotonic,0.012667200004216284,,0.7,0.6041666666666666,0.5114539504441328,0.5457051563317492,0.786637802056179,0.45705343186588177,0.14986841453417868,0.07558760572420348,0.8666666666666667,0.8125,0.8387096774193549,0.0,0.0,0.0,0.5333333333333333,1.0,0.6956521739130435,,,,,2018/2019,2019/2020,2
C,RandomForest,none,0.0,0.0,0.7,0.6041666666666666,0.5219941348973607,0.5334030637818673,0.8576163732821668,0.5011572124098692,0.15727511257411414,0.17747955593788928,0.8666666666666667,0.8125,0.8387096774193549,0.0,0.0,0.0,0.5714285714285714,1.0,0.7272727272727273,,,,,2018/2019,2019/2020,2
C,RandomForest,sigmoid,0.4042561000023852,,0.7,0.6041666666666666,0.5114539504441328,0.5457051563317492,0.7852214894349644,0.4462431932259754,0.14567193823535762,0.23166993642681957,0.8666666666666667,0.8125,0.8387096774193549,0.0,0.0,0.0,0.5333333333333333,1.0,0.6956521739130435,,,,,2018/2019,2019/2020,2
C,RandomForest,isotonic,0.4248844999965513,,0.7,0.6180555555555556,0.5918505942275042,0.5138711171473526,0.7173251932286975,0.4206156851433615,0.1268549523962782,0.07506134319866985,0.8666666666666667,0.8125,0.8387096774193549,0.25,0.16666666666666666,0.2,0.6363636363636364,0.875,0.7368421052631579,,,,,2018/2019,2019/2020,2
C,GBM,none,0.0,0.0,0.5666666666666667,0.47222222222222215,0.4748114630467572,0.3078031435168329,0.9812724708234054,0.5884109662393614,0.19275588159418122,0.1270852944164973,0.8571428571428571,0.75,0.8,0.14285714285714285,0.16666666666666666,0.15384615384615385,0.4444444444444444,0.5,0.47058823529411764,,,,,2018/2019,2019/2020,2
C,GBM,sigmoid,0.41424630000256,,0.7,0.5833333333333334,0.5050505050505051,0.5179920950044419,0.8992886894289971,0.5252514979043805,0.17979977229930338,0.23880423313368176,0.8235294117647058,0.875,0.8484848484848485,0.0,0.0,0.0,0.5384615384615384,0.875,0.6666666666666666,,,,,2018/2019,2019/2020,2
C,GBM,isotonic,0.4155081999997492,,0.7,0.638888888888889,0.591079460269865,0.554940842896008,0.7724322036129708,0.46262094764487516,0.14295594696208175,0.19026434959061217,0.9230769230769231,0.75,0.8275862068965517,0.5,0.16666666666666666,0.25,0.5333333333333333,1.0,0.6956521739130435,,,,,2018/2019,2019/2020,2
C,XGBoost,none,0.0,0.0,0.6666666666666666,0.5625,0.5017921146953405,0.46691574367802047,0.8611186468720698,0.4963565049742229,0.16506255329393452,0.1642534681580408,0.8666666666666667,0.8125,0.8387096774193549,0.0,0.0,0.0,0.5384615384615384,0.875,0.6666666666666666,,,,,2018/2019,2019/2020,2
C,XGBoost,sigmoid,0.11734269999578828,,0.7666666666666667,0.6458333333333334,0.556998556998557,0.640352432407066,0.8189750059117435,0.4667508238818708,0.14883667649128574,0.23453980907466443,0.8823529411764706,0.9375,0.9090909090909091,0.0,0.0,0.0,0.6153846153846154,1.0,0.7619047619047619,,,,,2018/2019,2019/2020,2
C,XGBoost,isotonic,0.11313930000324035,,0.8333333333333334,0.7916666666666666,0.7736310473152578,0.7405316311773547,0.6486728673199,0.38212506222162107,0.11091465881505003,0.19263976350938894,1.0,0.875,0.9333333333333333,0.6,0.5,0.5454545454545454,0.7272727272727273,1.0,0.8421052631578947,,,,,2018/2019,2019/2020,2
C,LightGBM,none,0.0,0.0,0.5333333333333333,0.3333333333333333,0.2318840579710145,0.0,1.0361032140379476,0.6239334027055149,0.23028095733610823,0.11397849462365578,0.5333333333333333,1.0,0.6956521739130435,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2018/2019,2019/2020,2
C,LightGBM,sigmoid,0.017900999999255873,,0.5333333333333333,0.3333333333333333,0.2318840579710145,0.0,1.0423990107146828,0.6283522224556992,0.23186439263732647,0.1261191070331314,0.5333333333333333,1.0,0.6956521739130435,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2018/2019,2019/2020,2
C,LightGBM,isotonic,0.01682309999887366,,0.5333333333333333,0.3333333333333333,0.2318840579710145,0.0,1.0366060818887786,0.6243342516069791,0.2305096418732782,0.11515151515151523,0.5333333333333333,1.0,0.6956521739130435,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2018/2019,2019/2020,2
C,FIGS,none,0.0,0.0,0.6,0.5416666666666666,0.4444444444444444,0.4445783095771405,0.9629351138147936,0.5689685530283591,0.20098243157055926,0.14965791267011702,0.9090909090909091,0.625,0.7407407407407407,0.0,0.0,0.0,0.42105263157894735,1.0,0.5925925925925926,,,,,2018/2019,2019/2020,2
C,FIGS,sigmoid,0.12291820000245934,,0.6666666666666666,0.5833333333333334,0.48888888888888893,0.5023578857529274,0.8537258912229047,0.4934027441743291,0.16640809829909792,0.13275792183136081,0.8571428571428571,0.75,0.8,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,,,,,2018/2019,2019/2020,2
C,FIGS,isotonic,0.12244279999868013,,0.6666666666666666,0.5833333333333334,0.48888888888888893,0.5023578857529274,0.8141339724899636,0.4685062079400425,0.1555296410466225,0.09793208189052913,0.8571428571428571,0.75,0.8,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,,,,,2018/2019,2019/2020,2
R,DummyPrior,none,0.0005877000003238209,,,,,,,,,,,,,,,,,,,1.762365591397849,2.3035435460480698,-0.037064404274862905,0.0,2018/2019,2019/2020,2
R,SVR,none,0.04720890000317013,,,,,,,,,,,,,,,,,,,1.7568108237597366,2.2892651982718264,-0.024247911664861954,0.642922065357382,2018/2019,2019/2020,2
R,KernelRidge,none,0.05377259999659145,,,,,,,,,,,,,,,,,,,1.766666385998432,2.31660630082433,-0.04885956085061616,0.6272639998551861,2018/2019,2019/2020,2
R,KernelRidgeApprox,none,0.09119149999605725,,,,,,,,,,,,,,,,,,,1.7633409566977367,2.3063700042714013,-0.03961093093215551,0.6090665851407756,2018/2019,2019/2020,2
R,RandomForest,none,2.265121399999771,,,,,,,,,,,,,,,,,,,1.3490464109419993,1.7725728171038344,0.3859255260061062,0.712237258788934,2018/2019,2019/2020,2
R,GBM,none,1.8728060000066762,,,,,,,,,,,,,,,,,,,1.235388748706626,1.5291675849454127,0.5429928007463611,0.7978342654124173,2018/2019,2019/2020,2
R,XGBoost,none,1.6581546000015805,,,,,,,,,,,,,,,,,,,1.2939745366573334,1.6590638772618118,0.4620534953416946,0.7663357410675187,2018/2019,2019/2020,2
R,LightGBM,none,0.08218640000268351,,,,,,,,,,,,,,,,,,,1.762365591397849,2.3035435460480698,-0.037064404274862905,0.0,2018/2019,2019/2020,2
R,FIGS,none,0.38962899999751244,,,,,,,,,,,,,,,,,,,1.67436974789916,2.082482678296957,0.15242981653285959,0.5045651358759394,2018/2019,2019/2020,2
L,DummyPrior,none,0.00017579999985173345,,0.5333333333333333,0.3333333333333333,0.2318840579710145,0.0,1.0361032140379471,0.6239334027055151,0.2302809573361082,0.11397849462365595,0.5333333333333333,1.0,0.6956521739130435,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2018/2019,2019/2020,2
L,SVC,none,0.0,0.0,0.6611111111111111,0.6080246913580246,0.5794459541062802,0.4826425534275824,0.7866368940708884,0.45544622493686876,0.1501517129193639,0.12909079959481742,0.9196428571428571,0.7152777777777778,0.8046875,0.34210526315789475,0.24074074074074073,0.2826086956521739,0.5208333333333334,0.8680555555555556,0.6510416666666666,,,,,2018/2019,2019/2020,2
