feature,importance
diff_form_5_defensive_actions_for,0.046924915
diff_form_5_set_pieces_against,0.044862915
diff_form_5_pressures_for,0.042689167
away_form_5_set_pieces_against,0.042332064
away_form_5_defensive_actions_for,0.039170984
away_rest_days,0.03807672
home_form_5_goals_against,0.03210681
away_form_5_pressures_for,0.03142462
away_team_id,0.030440753
diff_form_5_pressures_against,0.02857412
home_form_5_defensive_actions_for,0.027338574
home_form_5_pressures_for,0.026541939
home_team_id,0.02611163
diff_form_5_shots_against,0.024780188
away_form_5_passes_for,0.023074029
away_form_5_completed_passes_for,0.022190351
diff_form_5_defensive_actions_against,0.020642277
home_form_5_points,0.020331236
home_form_5_xg_against,0.018920822
home_form_5_xg_for,0.01831899
away_form_5_set_pieces_for,0.017777398
home_form_5_goals_for,0.017599612
home_form3_goals_for,0.017225886
diff_form_5_goals_against,0.016988853
away_pressure_rate_5,0.015653668
home_shot_conv_5,0.014684284
home_form_5_event_share_for,0.014561893
home_form_5_shots_against,0.014441336
away_momentum_xg_for,0.014350541
away_form_5_carries_final_third_for,0.014288189
home_form_5_shot_goals_for,0.013997199
home_form_5_carries_final_third_against,0.013175256
home_score,0.013165842
home_form_5_carries_final_third_for,0.012997018
home_form_5_yellow_cards_against,0.012633653
away_shot_conv_5,0.011354223
away_score,0.011352634
home_form_5_yellow_cards_for,0.0110216625
home_rest_days,0.010815965
diff_form_5_set_pieces_for,0.01071033
away_form_5_yellow_cards_for,0.0106278425
home_form_5_set_pieces_for,0.00910779
away_form_5_shots_against,0.008991384
home_form_5_passes_for,0.008195769
home_form_5_passes_against,0.006828207
away_form_5_xg_against,0.0066576214
away_form_5_shots_for,0.0064933607
home_form_5_pressures_against,0.006109849
away_form_5_carries_final_third_against,0.005145622
away_form_5_shot_goals_against,0.0047156895
home_momentum_points,0.0041790493
home_momentum_goals_for,0.0041467007
home_form_5_set_pieces_against,0.003762871
home_matches_played_before,0.0037354259
home_form_5_shots_for,0.0037216288
home_momentum_xg_for,0.0036663266
home_form_5_defensive_actions_against,0.0035056642
home_form_5_completed_passes_against,0.0034953037
diff_form_5_yellow_cards_against,0.0031656558
home_form_5_completed_passes_for,0.0021639524
diff_form_5_yellow_cards_for,0.0020021554
away_form_5_defensive_actions_against,0.0018033852
away_form_5_goals_against,0.0017374048
away_form_5_pressures_against,0.0014471106
diff_form_5_xg_for,0.0006870863
diff_form_5_xg_against,0.0002585787
season_id,0.0
competition_id,0.0
away_form_5_completed_passes_against,0.0
away_form_5_passes_against,0.0
away_form_5_goals_for,0.0
home_away_win_rate_5,0.0
away_form_5_xg_for,0.0
home_home_win_rate_5,0.0
home_form3_points,0.0
home_form5_xg_for,0.0
home_form5_shots_for,0.0
home_form5_goals_against,0.0
home_form3_goals_against,0.0
home_possession_share_5,0.0
home_pressure_rate_5,0.0
home_set_piece_share_5,0.0
home_form5_points,0.0
home_form5_goals_for,0.0
home_form_5_red_cards_against,0.0
home_form_5_event_share_against,0.0
home_form_5_shot_goals_against,0.0
home_form_5_red_cards_for,0.0
away_form_5_points,0.0
away_form_5_shot_goals_for,0.0
away_form5_points,0.0
away_matches_played_before,0.0
away_form_5_event_share_against,0.0
away_form5_goals_for,0.0
away_form_5_event_share_for,0.0
away_form_5_yellow_cards_against,0.0
away_form_5_red_cards_against,0.0
away_form_5_red_cards_for,0.0
away_away_win_rate_5,0.0
away_home_win_rate_5,0.0
away_set_piece_share_5,0.0
away_possession_share_5,0.0
away_momentum_goals_for,0.0
away_form3_goals_for,0.0
away_form3_goals_against,0.0
away_momentum_points,0.0
away_form5_xg_for,0.0
away_form5_shots_for,0.0
away_form5_goals_against,0.0
away_form3_points,0.0
diff_form_5_shot_goals_against,0.0
diff_form_5_shot_goals_for,0.0
diff_form_5_shots_for,0.0
diff_form_5_goals_for,0.0
diff_form_5_carries_final_third_for,0.0
diff_form_5_completed_passes_against,0.0
diff_form_5_passes_against,0.0
diff_form_5_completed_passes_for,0.0
diff_form_5_passes_for,0.0
diff_form_5_points,0.0
diff_form_5_carries_final_third_against,0.0
diff_form_5_red_cards_for,0.0
diff_form_5_red_cards_against,0.0
diff_form_5_event_share_for,0.0
diff_form_5_event_share_against,0.0
season_idx,0.0
odds_tagged,0.0
market_p_H,0.0
market_p_D,0.0
market_p_A,0.0
