feature,importance
live_home_event_share,114
prematch_away_form_5_carries_final_third_against,108
prematch_home_form_5_defensive_actions_for,73
live_diff_passes,66
live_diff_event_share,54
prematch_diff_form_5_pressures_for,46
prematch_home_form_5_completed_passes_for,45
live_diff_xg,44
prematch_home_rest_days,39
prematch_home_form_5_xg_for,38
prematch_home_form_5_shots_for,38
live_diff_shots,33
live_diff_pressures,32
prematch_home_form_5_carries_final_third_for,28
live_diff_final_third_carries,28
live_diff_set_pieces,27
prematch_home_form_5_set_pieces_against,26
live_away_recent_events,26
prematch_home_form_5_pressures_for,24
live_diff_recent_passes_per_min,23
prematch_home_form_5_carries_final_third_against,23
live_away_recent_passes_per_min,22
prematch_away_form_5_shots_for,22
prematch_home_form_5_passes_for,22
live_home_recent_events,21
live_momentum_pressures,19
live_home_recent_passes_per_min,18
live_home_pressures,18
prematch_diff_form_5_goals_against,17
live_diff_recent_events,17
live_home_defensive_actions,17
live_away_recent_pressures,16
live_diff_completed_passes,15
live_momentum_shots,15
live_home_final_third_carries,14
live_diff_defensive_actions,14
prematch_home_form_5_xg_against,13
prematch_home_form_5_goals_for,12
prematch_home_form_5_pressures_against,12
prematch_away_form_5_shots_against,11
prematch_away_form_5_pressures_for,11
prematch_home_form_5_goals_against,10
prematch_home_form_5_set_pieces_for,10
live_away_xg,10
live_away_set_pieces,10
prematch_away_form_5_set_pieces_against,10
live_home_passes,9
prematch_home_form_5_shots_against,8
live_diff_recent_pressures,8
prematch_diff_form_5_set_pieces_for,7
live_away_shots,6
live_away_pressures,6
live_away_completed_passes,6
live_away_recent_shots,6
live_away_passes,6
live_home_completed_passes,6
current_away_goals,6
live_home_xg,6
live_diff_recent_pressures_per_min,6
live_away_final_third_carries,5
live_home_set_pieces,5
prematch_home_form3_goals_for,5
prematch_away_form_5_goals_for,5
prematch_home_form_5_passes_against,5
live_away_defensive_actions,4
snapshot_minute,4
prematch_away_form_5_set_pieces_for,3
prematch_away_form_5_red_cards_for,3
prematch_home_form_5_yellow_cards_against,3
live_home_shots,3
max_event_minute_used,3
prematch_diff_form_5_pressures_against,3
prematch_home_matches_played_before,2
prematch_home_form_5_yellow_cards_for,2
max_event_time_seconds_used,2
live_home_recent_shots,2
live_home_recent_pressures,2
prematch_diff_form_5_yellow_cards_for,2
current_home_goals,1
prematch_away_shot_conv_5,1
prematch_home_momentum_xg_for,1
prematch_away_form_5_goals_against,1
prematch_home_form_5_defensive_actions_against,1
prematch_away_form_5_xg_for,1
live_diff_recent_event_rate,1
live_diff_recent_shots,1
live_home_recent_event_rate,0
live_home_recent_shots_per_min,0
current_score_diff,0
live_diff_recent_shots_per_min,0
live_diff_red_cards,0
live_away_recent_shots_per_min,0
live_away_recent_event_rate,0
live_away_red_cards,0
live_away_event_share,0
live_away_recent_pressures_per_min,0
live_home_recent_pressures_per_min,0
live_home_red_cards,0
man_advantage_home,0
snapshot_time_seconds,0
prematch_home_form_5_event_share_for,0
prematch_home_form_5_completed_passes_against,0
prematch_home_form_5_points,0
prematch_home_form_5_red_cards_against,0
prematch_home_form_5_red_cards_for,0
prematch_home_set_piece_share_5,0
prematch_home_pressure_rate_5,0
prematch_home_possession_share_5,0
prematch_home_shot_conv_5,0
prematch_home_momentum_goals_for,0
prematch_home_momentum_points,0
prematch_home_form_5_shot_goals_against,0
prematch_home_form_5_shot_goals_for,0
prematch_home_form_5_event_share_against,0
prematch_home_form3_goals_against,0
prematch_home_form3_points,0
prematch_home_form5_goals_for,0
prematch_home_form5_goals_against,0
prematch_home_form5_shots_for,0
prematch_home_form5_xg_for,0
prematch_home_form5_points,0
prematch_away_form_5_completed_passes_against,0
prematch_away_form_5_completed_passes_for,0
prematch_away_form_5_passes_against,0
prematch_away_form_5_passes_for,0
prematch_away_form_5_shot_goals_against,0
prematch_away_form_5_xg_against,0
prematch_away_form_5_points,0
prematch_away_form_5_shot_goals_for,0
prematch_home_away_win_rate_5,0
prematch_home_home_win_rate_5,0
prematch_away_form_5_red_cards_against,0
prematch_away_form_5_yellow_cards_against,0
prematch_away_form_5_yellow_cards_for,0
prematch_away_form_5_pressures_against,0
prematch_away_form_5_defensive_actions_against,0
prematch_away_form_5_defensive_actions_for,0
prematch_away_form5_points,0
prematch_away_form5_goals_for,0
prematch_away_form5_shots_for,0
prematch_away_form5_goals_against,0
prematch_away_form3_points,0
prematch_away_form3_goals_for,0
prematch_away_form3_goals_against,0
prematch_away_form5_xg_for,0
prematch_away_momentum_points,0
prematch_away_momentum_goals_for,0
prematch_away_momentum_xg_for,0
prematch_away_form_5_event_share_for,0
prematch_away_form_5_event_share_against,0
prematch_away_matches_played_before,0
prematch_away_rest_days,0
prematch_away_form_5_carries_final_third_for,0
prematch_away_away_win_rate_5,0
prematch_away_home_win_rate_5,0
prematch_away_set_piece_share_5,0
prematch_away_pressure_rate_5,0
prematch_away_possession_share_5,0
prematch_diff_form_5_shot_goals_for,0
prematch_diff_form_5_shots_against,0
prematch_diff_form_5_goals_for,0
prematch_diff_form_5_xg_for,0
prematch_diff_form_5_shot_goals_against,0
prematch_diff_form_5_xg_against,0
prematch_diff_form_5_passes_for,0
prematch_diff_form_5_completed_passes_for,0
prematch_diff_form_5_passes_against,0
prematch_diff_form_5_points,0
prematch_diff_form_5_shots_for,0
prematch_diff_form_5_carries_final_third_for,0
prematch_diff_form_5_completed_passes_against,0
prematch_diff_form_5_set_pieces_against,0
prematch_diff_form_5_carries_final_third_against,0
prematch_diff_form_5_defensive_actions_for,0
prematch_diff_form_5_defensive_actions_against,0
prematch_diff_form_5_yellow_cards_against,0
prematch_diff_form_5_red_cards_for,0
prematch_diff_form_5_red_cards_against,0
prematch_diff_form_5_event_share_for,0
prematch_diff_form_5_event_share_against,0
season_idx,0
odds_tagged,0
market_p_H,0
market_p_D,0
market_p_A,0
