feature,importance
prematch_away_form_5_set_pieces_for,0.23642749471145033
prematch_diff_form_5_goals_against,0.10634146913346419
prematch_away_form_5_completed_passes_against,0.091508107456481
prematch_home_shot_conv_5,0.07978010873661077
prematch_home_pressure_rate_5,0.06901933278065402
prematch_diff_form_5_defensive_actions_for,0.056662620789985
prematch_home_form_5_pressures_for,0.03003931681782452
prematch_diff_form_5_xg_against,0.026350946619436332
prematch_away_possession_share_5,0.023824800232679362
prematch_away_form_5_xg_against,0.02186119340766124
prematch_home_form_5_defensive_actions_for,0.02150338758230883
prematch_diff_form_5_pressures_for,0.018835187645140354
prematch_away_pressure_rate_5,0.01803020707450799
prematch_away_form_5_defensive_actions_for,0.015894121128716982
prematch_diff_form_5_points,0.01337412752376298
prematch_diff_form_5_shot_goals_against,0.013103295676221852
prematch_home_form_5_passes_for,0.012089911131801027
prematch_away_form_5_pressures_for,0.011949556456451405
prematch_diff_form_5_event_share_against,0.011866264236796686
prematch_away_set_piece_share_5,0.010998529592424288
prematch_diff_form_5_pressures_against,0.00881258650786011
prematch_home_form_5_completed_passes_against,0.00880940274164945
prematch_diff_form_5_defensive_actions_against,0.008337802289154435
prematch_away_form_5_event_share_against,0.0076228696566213216
prematch_home_form_5_completed_passes_for,0.0074076420804624074
prematch_away_form_5_set_pieces_against,0.006513558893459699
prematch_home_form_5_yellow_cards_against,0.005679598696616156
prematch_home_form_5_carries_final_third_for,0.005524100257237556
prematch_away_form_5_yellow_cards_against,0.005371648287704812
prematch_home_form_5_xg_against,0.0043737235656874695
prematch_home_momentum_points,0.004005692597919208
prematch_diff_form_5_event_share_for,0.003558486827967293
prematch_diff_form_5_set_pieces_against,0.0035243451849913494
prematch_away_form_5_passes_against,0.0034279930500457955
prematch_home_form_5_pressures_against,0.0031759982580616334
prematch_diff_form_5_shots_for,0.002878461094060285
prematch_away_form_5_yellow_cards_for,0.002719394865955369
prematch_home_form5_shots_for,0.0026653365457487517
prematch_diff_form_5_yellow_cards_against,0.0025969907816502553
prematch_away_form_5_shots_against,0.0023690043354852174
prematch_away_form5_shots_for,0.0016629195056819762
prematch_home_form_5_set_pieces_for,0.001553509485454092
prematch_home_form_5_event_share_against,0.0012649007750566857
prematch_home_form3_goals_for,0.0009316201118641352
prematch_away_form_5_defensive_actions_against,0.0008366291529681826
prematch_away_form3_goals_for,0.0007236089940534079
prematch_home_set_piece_share_5,0.0006323206679758716
prematch_home_form5_xg_for,0.0006043639897215324
prematch_away_form_5_goals_for,0.0005608027991714789
prematch_away_form_5_shot_goals_for,0.0004929946603448718
prematch_away_form5_goals_against,0.000457118949479772
prematch_away_form_5_carries_final_third_against,0.0002974076976461081
prematch_away_form_5_xg_for,0.00016416185218077122
prematch_home_rest_days,0.0001187853299032266
prematch_away_form_5_passes_for,0.00010601778556577227
prematch_diff_form_5_carries_final_third_for,9.721796138921733e-05
prematch_diff_form_5_shot_goals_for,7.664378948417322e-05
prematch_home_form5_points,7.066958088066693e-05
prematch_away_form_5_shots_for,5.9156758658165174e-05
prematch_home_possession_share_5,5.703194326912991e-05
prematch_away_form_5_completed_passes_for,5.4760932993027967e-05
prematch_diff_form_5_yellow_cards_for,5.0376668566648935e-05
prematch_home_form_5_defensive_actions_against,4.882019855530185e-05
prematch_home_home_win_rate_5,4.361272631156878e-05
prematch_home_form3_points,4.1380735263874233e-05
prematch_home_form5_goals_for,3.0054976328502166e-05
prematch_home_form_5_shots_for,2.3706427966264213e-05
prematch_away_rest_days,2.3364845681440883e-05
prematch_home_form_5_carries_final_third_against,2.1136546823355435e-05
prematch_home_momentum_goals_for,1.2033340098222315e-05
current_score_diff,9.929408247141114e-06
prematch_away_form_5_event_share_for,9.795386204010428e-06
prematch_away_form5_goals_for,6.952508399777174e-06
prematch_away_form_5_goals_against,4.648474026383109e-06
prematch_home_form_5_set_pieces_against,3.5877380322151217e-06
prematch_home_form_5_event_share_for,2.4101603787847717e-06
prematch_away_form5_xg_for,2.176868220673907e-06
prematch_away_form_5_carries_final_third_for,2.0101366980724903e-06
prematch_diff_form_5_shots_against,1.7689181550432207e-06
prematch_diff_form_5_completed_passes_for,9.415904375610627e-07
prematch_diff_form_5_xg_for,9.367065720983028e-07
prematch_home_form_5_red_cards_for,8.605907418144817e-07
prematch_diff_form_5_goals_for,7.965145355303459e-07
prematch_home_form_5_xg_for,3.322912004449718e-07
prematch_home_form_5_goals_for,2.6295260045811276e-07
prematch_diff_form_5_carries_final_third_against,2.2866273644500581e-07
prematch_home_form_5_shot_goals_for,1.4248549532463426e-07
prematch_home_matches_played_before,1.0584950996476021e-07
live_away_event_share,1.0258565843276699e-07
prematch_home_away_win_rate_5,7.05987131366265e-08
prematch_away_form_5_points,4.32103712621502e-08
prematch_diff_form_5_passes_for,4.128799386013658e-08
prematch_away_momentum_goals_for,3.3099605880746515e-08
prematch_diff_form_5_red_cards_for,3.002200825674341e-08
prematch_away_matches_played_before,1.5114055069604115e-08
prematch_away_shot_conv_5,1.083405585651257e-08
live_home_event_share,9.976367756993557e-09
prematch_home_momentum_xg_for,3.736039138488517e-09
prematch_diff_form_5_set_pieces_for,3.5563477731506042e-09
prematch_away_form_5_shot_goals_against,1.7733288223130479e-09
prematch_home_form_5_goals_against,9.920083251875593e-10
prematch_home_form_5_points,6.605846078175767e-10
prematch_away_form_5_pressures_against,4.750319237015282e-10
prematch_away_away_win_rate_5,2.870999280925135e-10
prematch_diff_form_5_completed_passes_against,9.886168135189747e-11
prematch_away_form_5_red_cards_for,4.562074162900487e-12
prematch_home_form3_goals_against,2.181421087466836e-12
prematch_home_form_5_shots_against,6.045791682086157e-13
prematch_home_form_5_passes_against,2.7165513679391456e-13
prematch_diff_form_5_passes_against,2.306106286360499e-16
snapshot_minute,2.1157664884685374e-16
live_home_defensive_actions,2.0957886220091328e-16
live_diff_recent_pressures_per_min,1.9952969419796669e-16
live_diff_xg,6.916959794235985e-17
live_away_defensive_actions,5.805829010453635e-17
live_diff_recent_events,5.4291608950984327e-17
max_event_time_seconds_used,5.039241129629456e-17
live_home_passes,4.889457326828293e-17
live_away_pressures,4.886244805588589e-17
live_diff_defensive_actions,4.103192753410931e-17
live_diff_event_share,3.903213306239406e-17
live_diff_recent_passes_per_min,3.469522938879472e-17
snapshot_time_seconds,2.5957171616801972e-17
live_away_recent_shots_per_min,2.2210568720998096e-17
live_away_shots,2.1813019217584833e-17
live_diff_passes,1.8632623190278646e-17
live_away_recent_passes_per_min,1.4821769869680707e-17
live_away_passes,1.3119133612638003e-17
live_home_recent_events,1.0488881847630996e-17
live_home_recent_pressures,9.766064568697774e-18
max_event_minute_used,9.444812444727452e-18
live_away_final_third_carries,9.348436807536355e-18
live_home_set_pieces,8.930809046374936e-18
live_momentum_shots,7.687964891764757e-18
live_home_recent_shots,7.27636060792778e-18
live_diff_set_pieces,5.9793051573976086e-18
live_away_recent_events,4.171258047177143e-18
live_home_pressures,3.774712456651277e-18
live_home_recent_passes_per_min,3.260709058298763e-18
live_home_recent_event_rate,1.4135093454694144e-18
live_away_recent_event_rate,2.570016991762572e-19
live_home_completed_passes,1.927512743821929e-19
live_away_set_pieces,1.927512743821929e-19
live_away_recent_pressures_per_min,1.6062606198516074e-19
current_home_goals,0.0
live_home_shots,0.0
man_advantage_home,0.0
current_away_goals,0.0
live_home_final_third_carries,0.0
live_home_recent_shots_per_min,0.0
live_home_red_cards,0.0
live_home_recent_pressures_per_min,0.0
live_diff_final_third_carries,0.0
prematch_home_form5_goals_against,0.0
live_diff_recent_shots_per_min,0.0
live_diff_recent_event_rate,0.0
live_diff_red_cards,0.0
live_diff_recent_shots,0.0
live_diff_completed_passes,0.0
live_diff_pressures,0.0
live_diff_recent_pressures,0.0
live_diff_shots,0.0
live_away_recent_pressures,0.0
live_away_recent_shots,0.0
live_away_completed_passes,0.0
live_away_xg,0.0
live_away_red_cards,0.0
prematch_home_form_5_shot_goals_against,0.0
prematch_home_form_5_red_cards_against,0.0
prematch_away_home_win_rate_5,0.0
live_momentum_pressures,0.0
prematch_home_form_5_yellow_cards_for,0.0
prematch_away_form3_goals_against,0.0
prematch_away_form3_points,0.0
prematch_away_form5_points,0.0
prematch_away_form_5_red_cards_against,0.0
prematch_away_momentum_points,0.0
odds_tagged,0.0
prematch_away_momentum_xg_for,0.0
prematch_diff_form_5_red_cards_against,0.0
season_idx,0.0
market_p_D,0.0
market_p_H,0.0
market_p_A,0.0
live_home_xg,-3.308896876894311e-18
