feature,importance
prematch_home_form_5_goals_for,317
live_home_event_share,197
prematch_diff_form_5_pressures_for,165
prematch_away_form_5_passes_against,147
prematch_home_form_5_goals_against,127
prematch_home_form_5_shots_for,126
prematch_away_form_5_set_pieces_for,125
prematch_diff_form_5_yellow_cards_for,123
prematch_away_form_5_shots_for,123
prematch_away_form_5_pressures_for,115
prematch_home_form_5_passes_for,102
prematch_home_form_5_shots_against,96
live_diff_pressures,93
prematch_home_form_5_xg_against,90
live_diff_set_pieces,86
prematch_diff_form_5_defensive_actions_for,83
prematch_home_form_5_carries_final_third_for,82
prematch_away_form_5_xg_for,79
prematch_home_form_5_pressures_against,71
prematch_home_form_5_points,69
live_home_defensive_actions,62
live_diff_passes,59
live_diff_final_third_carries,58
live_home_recent_passes_per_min,41
prematch_home_form_5_xg_for,28
prematch_home_form_5_pressures_for,25
live_diff_xg,23
prematch_home_form_5_carries_final_third_against,22
prematch_away_form_5_completed_passes_against,20
prematch_home_form_5_red_cards_against,19
prematch_away_form_5_yellow_cards_against,18
prematch_away_matches_played_before,18
prematch_home_form_5_passes_against,17
prematch_away_form_5_defensive_actions_for,17
live_away_event_share,15
prematch_away_form_5_shots_against,13
prematch_diff_form_5_shots_for,13
prematch_away_form_5_xg_against,12
prematch_away_form_5_defensive_actions_against,11
prematch_home_form3_goals_against,11
prematch_home_form_5_defensive_actions_against,11
live_away_xg,11
live_diff_completed_passes,11
live_home_pressures,11
prematch_home_shot_conv_5,10
live_diff_defensive_actions,9
prematch_away_form_5_carries_final_third_against,9
prematch_away_form_5_goals_against,9
live_home_set_pieces,9
prematch_away_form_5_passes_for,8
max_event_minute_used,8
prematch_diff_form_5_goals_against,8
prematch_home_form_5_defensive_actions_for,8
live_away_final_third_carries,8
live_away_set_pieces,8
live_home_xg,7
prematch_away_momentum_xg_for,7
prematch_away_form_5_pressures_against,6
prematch_diff_form_5_pressures_against,6
prematch_diff_form_5_xg_against,6
prematch_home_rest_days,6
max_event_time_seconds_used,6
current_score_diff,6
live_away_recent_passes_per_min,6
prematch_away_form_5_red_cards_against,6
prematch_diff_form_5_goals_for,6
prematch_home_form_5_completed_passes_against,5
prematch_away_form_5_yellow_cards_for,5
live_home_passes,5
prematch_home_momentum_goals_for,5
prematch_away_form_5_goals_for,4
live_home_recent_pressures,4
prematch_diff_form_5_yellow_cards_against,4
prematch_diff_form_5_set_pieces_for,4
prematch_home_form_5_set_pieces_against,4
prematch_home_momentum_xg_for,4
live_home_completed_passes,3
snapshot_minute,3
prematch_home_form_5_yellow_cards_for,3
prematch_home_matches_played_before,3
prematch_away_rest_days,3
live_away_shots,3
live_diff_event_share,3
live_away_pressures,3
prematch_diff_form_5_passes_for,2
current_away_goals,2
live_away_completed_passes,2
live_home_shots,2
live_home_final_third_carries,2
prematch_away_shot_conv_5,2
prematch_away_form_5_event_share_for,2
prematch_diff_form_5_xg_for,2
prematch_home_form_5_yellow_cards_against,2
prematch_home_away_win_rate_5,2
live_momentum_shots,2
prematch_home_form_5_red_cards_for,2
prematch_home_possession_share_5,2
prematch_diff_form_5_shots_against,2
prematch_diff_form_5_red_cards_against,1
prematch_home_set_piece_share_5,1
prematch_away_form_5_completed_passes_for,1
prematch_away_form_5_points,1
prematch_home_form3_points,1
prematch_home_momentum_points,1
prematch_home_form_5_set_pieces_for,1
live_away_passes,1
prematch_home_form_5_event_share_for,1
prematch_diff_form_5_completed_passes_for,1
prematch_diff_form_5_carries_final_third_against,1
live_home_recent_events,1
live_diff_recent_shots,1
live_diff_shots,1
current_home_goals,1
prematch_diff_form_5_set_pieces_against,1
prematch_away_momentum_points,1
prematch_away_form_5_carries_final_third_for,1
prematch_diff_form_5_event_share_for,1
live_home_red_cards,0
snapshot_time_seconds,0
man_advantage_home,0
live_home_recent_shots,0
live_diff_recent_shots_per_min,0
live_diff_red_cards,0
live_diff_recent_event_rate,0
live_diff_recent_events,0
live_diff_recent_pressures,0
live_away_red_cards,0
live_away_recent_shots_per_min,0
live_away_recent_pressures_per_min,0
live_away_defensive_actions,0
live_away_recent_shots,0
live_away_recent_events,0
live_away_recent_pressures,0
live_away_recent_event_rate,0
live_home_recent_event_rate,0
live_home_recent_shots_per_min,0
live_home_recent_pressures_per_min,0
prematch_home_form_5_shot_goals_against,0
prematch_away_form_5_shot_goals_for,0
prematch_home_home_win_rate_5,0
prematch_home_form5_goals_against,0
prematch_home_form5_points,0
prematch_home_form5_goals_for,0
prematch_home_form5_shots_for,0
prematch_home_pressure_rate_5,0
prematch_home_form3_goals_for,0
prematch_home_form5_xg_for,0
prematch_home_form_5_completed_passes_for,0
live_diff_recent_passes_per_min,0
live_diff_recent_pressures_per_min,0
live_momentum_pressures,0
prematch_home_form_5_shot_goals_for,0
prematch_home_form_5_event_share_against,0
prematch_away_form_5_shot_goals_against,0
prematch_away_away_win_rate_5,0
prematch_away_set_piece_share_5,0
prematch_away_pressure_rate_5,0
prematch_away_possession_share_5,0
prematch_away_momentum_goals_for,0
prematch_away_form3_goals_for,0
prematch_away_form3_goals_against,0
prematch_away_form5_goals_against,0
prematch_away_form5_shots_for,0
prematch_away_form3_points,0
prematch_away_form5_xg_for,0
prematch_away_form5_goals_for,0
prematch_away_form_5_red_cards_for,0
prematch_away_form_5_event_share_against,0
prematch_away_form5_points,0
prematch_away_form_5_set_pieces_against,0
prematch_away_home_win_rate_5,0
prematch_diff_form_5_carries_final_third_for,0
prematch_diff_form_5_completed_passes_against,0
prematch_diff_form_5_shot_goals_for,0
prematch_diff_form_5_points,0
prematch_diff_form_5_passes_against,0
prematch_diff_form_5_shot_goals_against,0
prematch_diff_form_5_red_cards_for,0
prematch_diff_form_5_defensive_actions_against,0
prematch_diff_form_5_event_share_against,0
season_idx,0
odds_tagged,0
market_p_H,0
market_p_D,0
market_p_A,0
