feature,importance
away_form_5_set_pieces_for,0.1320314865051349
away_score,0.08191718148167094
home_form_5_shots_for,0.05452552092013137
home_form5_shots_for,0.05393246930845362
diff_form_5_yellow_cards_against,0.05120279932296681
away_matches_played_before,0.04617601382633178
home_form_5_shots_against,0.0445530417973172
home_form_5_xg_for,0.03710911100693694
home_form_5_carries_final_third_against,0.03565328887140111
away_form_5_pressures_against,0.03128217995706278
home_form5_xg_for,0.026114243782811714
away_form_5_completed_passes_against,0.023889747006495536
away_form_5_passes_against,0.021893036267872333
home_matches_played_before,0.020736466325060602
away_set_piece_share_5,0.01945746739158851
home_form_5_carries_final_third_for,0.019247346228300342
away_form_5_event_share_for,0.017735265809142108
home_form_5_shot_goals_against,0.016223487268453237
home_score,0.015949376087282262
away_form3_goals_against,0.015383436117327294
home_form_5_defensive_actions_against,0.015005142867985908
home_momentum_goals_for,0.01356950669787969
away_form_5_event_share_against,0.012817371190257216
home_rest_days,0.012496981949911517
home_pressure_rate_5,0.011727558300503515
home_momentum_xg_for,0.010835745577618098
diff_form_5_goals_against,0.008514898307620325
diff_form_5_shot_goals_against,0.0085016954345791
diff_form_5_defensive_actions_for,0.007794378137786423
diff_form_5_xg_for,0.007575935481645606
home_form_5_goals_against,0.007513043038928562
diff_form_5_pressures_against,0.006969968959198665
away_form5_goals_against,0.005653127676503738
home_form3_goals_against,0.005638839417722424
home_form_5_xg_against,0.005554699489235618
away_momentum_goals_for,0.005212019472963011
diff_form_5_pressures_for,0.004754109821207911
diff_form_5_points,0.004482784604785757
diff_form_5_shots_against,0.0044300282276705264
diff_form_5_set_pieces_for,0.004293558555310224
home_form_5_passes_for,0.004166281285589445
away_form_5_completed_passes_for,0.004067655149120745
away_form_5_xg_against,0.004026449049477013
away_form_5_red_cards_against,0.003953934392480361
home_form5_goals_against,0.003953496472112718
away_form_5_shot_goals_against,0.003680198737490058
away_form_5_xg_for,0.003584227535433572
away_form5_shots_for,0.003305119486117726
diff_form_5_set_pieces_against,0.0024452320053671654
away_form_5_shots_against,0.002146631211522668
diff_form_5_completed_passes_against,0.002117203129062119
home_form_5_pressures_for,0.0019104402231131168
away_form_5_yellow_cards_for,0.001753022897185873
home_form3_goals_for,0.001733693470328288
away_form_5_carries_final_third_against,0.0016044610420889976
home_shot_conv_5,0.0014106560808121776
home_form_5_completed_passes_for,0.001374594930161223
home_form_5_pressures_against,0.0013222921126442668
diff_form_5_shots_for,0.0012731740672678321
home_form_5_yellow_cards_against,0.0012644506136565733
away_rest_days,0.001255641205325859
home_form_5_completed_passes_against,0.0012304520227019045
diff_form_5_defensive_actions_against,0.0012038811892419485
away_form_5_pressures_for,0.0011444192935621878
diff_form_5_carries_final_third_against,0.000998678372504868
away_away_win_rate_5,0.0009483696323947493
away_team_id,0.0009113599298964962
home_form_5_passes_against,0.0009087316413499923
diff_form_5_xg_against,0.0009021846017741716
away_shot_conv_5,0.00088562672993278
home_form_5_event_share_for,0.0008564824590041696
diff_form_5_yellow_cards_for,0.0008129628128957281
home_form_5_set_pieces_for,0.0007908742524513567
away_form_5_goals_against,0.0007268464243845252
away_form_5_goals_for,0.0006811145510835911
diff_form_5_carries_final_third_for,0.0006582453213522025
away_form_5_shots_for,0.0006354207460433385
home_home_win_rate_5,0.0005483657867919725
home_form_5_yellow_cards_for,0.000518799160014435
diff_form_5_red_cards_against,0.00047325504238244484
away_form_5_carries_final_third_for,0.0004438032260880048
diff_form_5_passes_for,0.0003920621593095513
away_momentum_points,0.0003555788422800376
diff_form_5_passes_against,0.0003482576082341484
home_form_5_defensive_actions_for,0.00026938432646676915
away_form3_goals_for,0.0002501344809037117
away_form_5_yellow_cards_against,0.0002397411616161616
home_form_5_event_share_against,0.0002383957654349661
away_possession_share_5,0.00018551756161964153
home_form_5_goals_for,0.0001367427755083653
away_form_5_defensive_actions_against,0.00013620608289531498
away_form5_points,0.0001251278187395726
away_pressure_rate_5,0.00012211460051989135
away_form5_goals_for,9.26583993676645e-05
diff_form_5_event_share_against,6.63702604140651e-05
diff_form_5_red_cards_for,5.862137342629056e-05
season_id,0.0
competition_id,0.0
away_form_5_passes_for,0.0
home_away_win_rate_5,0.0
away_form_5_points,0.0
away_form_5_shot_goals_for,0.0
home_form3_points,0.0
home_momentum_points,0.0
home_possession_share_5,0.0
home_set_piece_share_5,0.0
home_form5_points,0.0
home_form5_goals_for,0.0
home_team_id,0.0
home_form_5_points,0.0
home_form_5_shot_goals_for,0.0
home_form_5_set_pieces_against,0.0
home_form_5_red_cards_for,0.0
home_form_5_red_cards_against,0.0
away_home_win_rate_5,0.0
away_momentum_xg_for,0.0
away_form5_xg_for,0.0
away_form3_points,0.0
away_form_5_set_pieces_against,0.0
away_form_5_defensive_actions_for,0.0
away_form_5_red_cards_for,0.0
diff_form_5_goals_for,0.0
diff_form_5_completed_passes_for,0.0
diff_form_5_shot_goals_for,0.0
diff_form_5_event_share_for,0.0
season_idx,0.0
odds_tagged,0.0
market_p_H,0.0
market_p_D,0.0
market_p_A,0.0
