task,model,best_params,best_score
C,SVC,"{""model__kernel"": ""sigmoid"", ""model__gamma"": 0.1, ""model__C"": 1.0}",
C,RandomForest,"{""n_estimators"": 150, ""min_samples_leaf"": 4, ""max_depth"": 10}",
C,GBM,"{""n_estimators"": 100, ""max_depth"": 2, ""learning_rate"": 0.01}",
C,XGBoost,"{""subsample"": 0.8, ""n_estimators"": 100, ""max_depth"": 5, ""learning_rate"": 0.01, ""colsample_bytree"": 0.8}",
C,LightGBM,"{""num_leaves"": 15, ""n_estimators"": 150, ""max_depth"": -1, ""learning_rate"": 0.05}","defaultdict(<class 'collections.OrderedDict'>, {})"
C,FIGS,"{""min_samples_leaf"": 10, ""min_impurity_decrease"": 0.0, ""max_splits"": 10}",
R,SVR,"{""model__gamma"": ""scale"", ""model__epsilon"": 0.1, ""model__C"": 10.0}",
R,KernelRidge,"{""model__kernel"": ""rbf"", ""model__gamma"": 0.01, ""model__alpha"": 0.1}",
R,KernelRidgeApprox,"{""nystroem__n_components"": 80, ""model__kernel"": ""poly"", ""model__gamma"": 1.0, ""model__alpha"": 0.1}",
R,RandomForest,"{""n_estimators"": 200, ""min_samples_leaf"": 4, ""max_depth"": 30}",
R,GBM,"{""n_estimators"": 100, ""max_depth"": 2, ""learning_rate"": 0.05}",
R,XGBoost,"{""subsample"": 0.8, ""n_estimators"": 200, ""max_depth"": 5, ""learning_rate"": 0.1, ""colsample_bytree"": 0.9}",
R,LightGBM,"{""num_leaves"": 15, ""n_estimators"": 150, ""max_depth"": -1, ""learning_rate"": 0.05}","defaultdict(<class 'collections.OrderedDict'>, {})"
R,FIGS,"{""min_samples_leaf"": 10, ""min_impurity_decrease"": 0.0, ""max_splits"": 10}",
L,SVC,"{""model__kernel"": ""poly"", ""model__gamma"": 1.0, ""model__C"": 10.0}",
L,RandomForest,"{""n_estimators"": 100, ""min_samples_leaf"": 1, ""max_depth"": null}",
L,GBM,"{""n_estimators"": 100, ""max_depth"": 5, ""learning_rate"": 0.1}",
L,XGBoost,"{""subsample"": 1.0, ""n_estimators"": 200, ""max_depth"": 5, ""learning_rate"": 0.1, ""colsample_bytree"": 0.9}",
L,LightGBM,"{""num_leaves"": 31, ""n_estimators"": 200, ""max_depth"": 5, ""learning_rate"": 0.1}","defaultdict(<class 'collections.OrderedDict'>, {})"
L,FIGS,"{""min_samples_leaf"": 5, ""min_impurity_decrease"": 0.0, ""max_splits"": 8}",
L_reg,SVR,"{""model__gamma"": ""scale"", ""model__epsilon"": 0.1, ""model__C"": 10.0}",
L_reg,KernelRidge,"{""model__kernel"": ""rbf"", ""model__gamma"": 0.01, ""model__alpha"": 0.1}",
L_reg,KernelRidgeApprox,"{""nystroem__n_components"": 80, ""model__kernel"": ""poly"", ""model__gamma"": 1.0, ""model__alpha"": 0.1}",
L_reg,RandomForest,"{""n_estimators"": 100, ""min_samples_leaf"": 8, ""max_depth"": 20}",
L_reg,GBM,"{""n_estimators"": 100, ""max_depth"": 2, ""learning_rate"": 0.05}",
L_reg,XGBoost,"{""subsample"": 0.8, ""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.01, ""colsample_bytree"": 0.8}",
L_reg,LightGBM,"{""num_leaves"": 15, ""n_estimators"": 100, ""max_depth"": -1, ""learning_rate"": 0.01}","defaultdict(<class 'collections.OrderedDict'>, {})"
L_reg,FIGS,"{""min_samples_leaf"": 20, ""min_impurity_decrease"": 0.0, ""max_splits"": 8}",
