task,model,calibration,train_seconds,peak_memory_mb,accuracy,balanced_accuracy,macro_f1,mcc,log_loss,brier,rps,ece,precision_H,recall_H,f1_H,precision_D,recall_D,f1_D,precision_A,recall_A,f1_A,mae,rmse,r2,corr
C,DummyPrior,none,0.00017420000222045928,,0.5333333333333333,0.3333333333333333,0.2318840579710145,0.0,1.0361032140379476,0.6239334027055149,0.23028095733610823,0.11397849462365578,0.5333333333333333,1.0,0.6956521739130435,0.0,0.0,0.0,0.0,0.0,0.0,,,,
C,SVC,none,0.0,0.0,0.7,0.6041666666666666,0.5114539504441328,0.5457051563317492,0.8083026870011029,0.4621671423372972,0.1497179468435378,0.12464675383531115,0.8666666666666667,0.8125,0.8387096774193549,0.0,0.0,0.0,0.5333333333333333,1.0,0.6956521739130435,,,,
C,SVC,sigmoid,0.014757100005226675,,0.6,0.5,0.44047619047619047,0.3426578042473508,0.8497292965623722,0.4964526853501531,0.16676309436852824,0.17554922840639786,0.75,0.75,0.75,0.0,0.0,0.0,0.46153846153846156,0.75,0.5714285714285714,,,,
C,SVC,isotonic,0.012667200004216284,,0.7,0.6041666666666666,0.5114539504441328,0.5457051563317492,0.786637802056179,0.45705343186588177,0.14986841453417868,0.07558760572420348,0.8666666666666667,0.8125,0.8387096774193549,0.0,0.0,0.0,0.5333333333333333,1.0,0.6956521739130435,,,,
C,RandomForest,none,0.0,0.0,0.7,0.6041666666666666,0.5219941348973607,0.5334030637818673,0.8576163732821668,0.5011572124098692,0.15727511257411414,0.17747955593788928,0.8666666666666667,0.8125,0.8387096774193549,0.0,0.0,0.0,0.5714285714285714,1.0,0.7272727272727273,,,,
C,RandomForest,sigmoid,0.4042561000023852,,0.7,0.6041666666666666,0.5114539504441328,0.5457051563317492,0.7852214894349644,0.4462431932259754,0.14567193823535762,0.23166993642681957,0.8666666666666667,0.8125,0.8387096774193549,0.0,0.0,0.0,0.5333333333333333,1.0,0.6956521739130435,,,,
C,RandomForest,isotonic,0.4248844999965513,,0.7,0.6180555555555556,0.5918505942275042,0.5138711171473526,0.7173251932286975,0.4206156851433615,0.1268549523962782,0.07506134319866985,0.8666666666666667,0.8125,0.8387096774193549,0.25,0.16666666666666666,0.2,0.6363636363636364,0.875,0.7368421052631579,,,,
C,GBM,none,0.0,0.0,0.5666666666666667,0.47222222222222215,0.4748114630467572,0.3078031435168329,0.9812724708234054,0.5884109662393614,0.19275588159418122,0.1270852944164973,0.8571428571428571,0.75,0.8,0.14285714285714285,0.16666666666666666,0.15384615384615385,0.4444444444444444,0.5,0.47058823529411764,,,,
C,GBM,sigmoid,0.41424630000256,,0.7,0.5833333333333334,0.5050505050505051,0.5179920950044419,0.8992886894289971,0.5252514979043805,0.17979977229930338,0.23880423313368176,0.8235294117647058,0.875,0.8484848484848485,0.0,0.0,0.0,0.5384615384615384,0.875,0.6666666666666666,,,,
C,GBM,isotonic,0.4155081999997492,,0.7,0.638888888888889,0.591079460269865,0.554940842896008,0.7724322036129708,0.46262094764487516,0.14295594696208175,0.19026434959061217,0.9230769230769231,0.75,0.8275862068965517,0.5,0.16666666666666666,0.25,0.5333333333333333,1.0,0.6956521739130435,,,,
C,XGBoost,none,0.0,0.0,0.6666666666666666,0.5625,0.5017921146953405,0.46691574367802047,0.8611186468720698,0.4963565049742229,0.16506255329393452,0.1642534681580408,0.8666666666666667,0.8125,0.8387096774193549,0.0,0.0,0.0,0.5384615384615384,0.875,0.6666666666666666,,,,
C,XGBoost,sigmoid,0.11734269999578828,,0.7666666666666667,0.6458333333333334,0.556998556998557,0.640352432407066,0.8189750059117435,0.4667508238818708,0.14883667649128574,0.23453980907466443,0.8823529411764706,0.9375,0.9090909090909091,0.0,0.0,0.0,0.6153846153846154,1.0,0.7619047619047619,,,,
C,XGBoost,isotonic,0.11313930000324035,,0.8333333333333334,0.7916666666666666,0.7736310473152578,0.7405316311773547,0.6486728673199,0.38212506222162107,0.11091465881505003,0.19263976350938894,1.0,0.875,0.9333333333333333,0.6,0.5,0.5454545454545454,0.7272727272727273,1.0,0.8421052631578947,,,,
C,LightGBM,none,0.0,0.0,0.5333333333333333,0.3333333333333333,0.2318840579710145,0.0,1.0361032140379476,0.6239334027055149,0.23028095733610823,0.11397849462365578,0.5333333333333333,1.0,0.6956521739130435,0.0,0.0,0.0,0.0,0.0,0.0,,,,
C,LightGBM,sigmoid,0.017900999999255873,,0.5333333333333333,0.3333333333333333,0.2318840579710145,0.0,1.0423990107146828,0.6283522224556992,0.23186439263732647,0.1261191070331314,0.5333333333333333,1.0,0.6956521739130435,0.0,0.0,0.0,0.0,0.0,0.0,,,,
C,LightGBM,isotonic,0.01682309999887366,,0.5333333333333333,0.3333333333333333,0.2318840579710145,0.0,1.0366060818887786,0.6243342516069791,0.2305096418732782,0.11515151515151523,0.5333333333333333,1.0,0.6956521739130435,0.0,0.0,0.0,0.0,0.0,0.0,,,,
