feature,importance
diff_form_5_defensive_actions_for,0.30550190766049534
away_score,0.2610663841025687
home_score,0.16969064834416758
home_form_5_yellow_cards_against,0.09228288933282025
diff_form_5_pressures_for,0.06428309352743238
away_form_5_yellow_cards_for,0.054950826732048354
home_form_5_xg_for,0.026667674292549116
home_form5_xg_for,0.025556576007918195
home_momentum_goals_for,3.809369957606791e-18
competition_id,0.0
season_id,0.0
home_form_5_shots_for,0.0
home_form_5_shot_goals_for,0.0
home_form_5_shot_goals_against,0.0
home_form_5_xg_against,0.0
home_form_5_shots_against,0.0
home_form_5_goals_for,0.0
home_form_5_goals_against,0.0
home_form_5_completed_passes_for,0.0
home_form_5_completed_passes_against,0.0
home_form_5_pressures_against,0.0
home_form_5_pressures_for,0.0
home_form_5_carries_final_third_against,0.0
home_form_5_set_pieces_for,0.0
home_form_5_set_pieces_against,0.0
home_form_5_carries_final_third_for,0.0
home_form_5_defensive_actions_for,0.0
home_form_5_defensive_actions_against,0.0
home_form_5_yellow_cards_for,0.0
home_form_5_red_cards_for,0.0
home_form_5_red_cards_against,0.0
home_form_5_passes_for,0.0
home_form_5_points,0.0
away_team_id,0.0
home_matches_played_before,0.0
home_form_5_event_share_against,0.0
home_form5_goals_for,0.0
home_rest_days,0.0
home_form5_goals_against,0.0
home_form5_shots_for,0.0
home_form3_points,0.0
home_form5_points,0.0
home_form3_goals_for,0.0
home_form3_goals_against,0.0
home_momentum_points,0.0
home_momentum_xg_for,0.0
home_shot_conv_5,0.0
home_possession_share_5,0.0
home_pressure_rate_5,0.0
home_set_piece_share_5,0.0
home_home_win_rate_5,0.0
home_away_win_rate_5,0.0
away_form_5_goals_for,0.0
away_form_5_goals_against,0.0
away_form_5_points,0.0
away_form_5_shots_for,0.0
away_form_5_shots_against,0.0
away_form_5_shot_goals_for,0.0
away_form_5_shot_goals_against,0.0
away_form_5_xg_for,0.0
away_form_5_xg_against,0.0
away_form_5_passes_for,0.0
away_form_5_passes_against,0.0
home_form_5_event_share_for,0.0
home_form_5_passes_against,0.0
home_team_id,0.0
away_form_5_pressures_for,0.0
away_form_5_completed_passes_against,0.0
away_form_5_completed_passes_for,0.0
away_form_5_pressures_against,0.0
away_form_5_set_pieces_for,0.0
away_form_5_set_pieces_against,0.0
away_form_5_carries_final_third_against,0.0
away_form_5_carries_final_third_for,0.0
away_form_5_yellow_cards_against,0.0
away_form_5_red_cards_for,0.0
away_form_5_red_cards_against,0.0
away_form_5_event_share_for,0.0
away_form_5_event_share_against,0.0
away_matches_played_before,0.0
away_form_5_defensive_actions_for,0.0
away_form_5_defensive_actions_against,0.0
away_form5_goals_for,0.0
away_form5_goals_against,0.0
away_form5_shots_for,0.0
away_form5_xg_for,0.0
away_form3_points,0.0
away_form3_goals_for,0.0
away_form3_goals_against,0.0
away_momentum_points,0.0
away_momentum_goals_for,0.0
away_momentum_xg_for,0.0
away_shot_conv_5,0.0
away_possession_share_5,0.0
away_pressure_rate_5,0.0
away_set_piece_share_5,0.0
away_rest_days,0.0
away_form5_points,0.0
away_away_win_rate_5,0.0
away_home_win_rate_5,0.0
diff_form_5_points,0.0
diff_form_5_goals_for,0.0
diff_form_5_shots_against,0.0
diff_form_5_shot_goals_for,0.0
diff_form_5_shot_goals_against,0.0
diff_form_5_goals_against,0.0
diff_form_5_xg_for,0.0
diff_form_5_xg_against,0.0
diff_form_5_passes_against,0.0
diff_form_5_passes_for,0.0
diff_form_5_completed_passes_for,0.0
diff_form_5_completed_passes_against,0.0
diff_form_5_pressures_against,0.0
diff_form_5_shots_for,0.0
diff_form_5_carries_final_third_for,0.0
diff_form_5_carries_final_third_against,0.0
diff_form_5_set_pieces_for,0.0
diff_form_5_set_pieces_against,0.0
diff_form_5_defensive_actions_against,0.0
diff_form_5_yellow_cards_for,0.0
diff_form_5_yellow_cards_against,0.0
diff_form_5_red_cards_for,0.0
diff_form_5_red_cards_against,0.0
diff_form_5_event_share_for,0.0
diff_form_5_event_share_against,0.0
season_idx,0.0
odds_tagged,0.0
market_p_H,0.0
market_p_D,0.0
market_p_A,0.0
