feature,importance
prematch_diff_form_5_completed_passes_for,0.44392426199099977
prematch_home_rest_days,0.08353260751645918
prematch_away_form_5_yellow_cards_against,0.07768779111034739
prematch_diff_form_5_yellow_cards_against,0.06406488303029213
prematch_away_pressure_rate_5,0.04866687060681022
prematch_away_form_5_pressures_for,0.0373120589107858
prematch_diff_form_5_xg_against,0.02229511354496752
prematch_home_form3_points,0.018017712139183233
prematch_away_form_5_set_pieces_for,0.016143064586244572
prematch_diff_form_5_xg_for,0.013135873578619348
prematch_away_set_piece_share_5,0.013005705655652544
prematch_diff_form_5_yellow_cards_for,0.011852153451022102
prematch_away_form_5_yellow_cards_for,0.009485186956587417
prematch_home_form_5_points,0.008375044983492102
prematch_diff_form_5_event_share_against,0.0081046237273022
prematch_home_matches_played_before,0.00782075877713325
prematch_home_form_5_shot_goals_against,0.007592950460185531
prematch_home_form_5_yellow_cards_against,0.00713970369165843
prematch_diff_form_5_shots_for,0.006057701302800612
prematch_home_form_5_set_pieces_against,0.005702222682145806
prematch_away_form_5_completed_passes_against,0.005701060539158446
prematch_away_form3_points,0.005190975844224698
prematch_away_momentum_goals_for,0.0047659313333490326
prematch_home_form3_goals_against,0.004325215257445559
prematch_home_form_5_completed_passes_against,0.003946952671077211
prematch_home_form5_xg_for,0.0036897957055846854
prematch_home_form_5_defensive_actions_against,0.00362723435419378
prematch_away_form3_goals_for,0.0036264539188379115
prematch_diff_form_5_carries_final_third_against,0.0035841763065497427
prematch_away_form_5_xg_against,0.003358596972841086
prematch_home_form3_goals_for,0.002970739344928266
prematch_away_form_5_pressures_against,0.0028103465000819685
prematch_diff_form_5_set_pieces_against,0.002457250703064921
prematch_diff_form_5_completed_passes_against,0.0024068047611927198
prematch_home_form_5_shot_goals_for,0.002318781872333049
prematch_diff_form_5_goals_against,0.0022677462148274663
prematch_diff_form_5_red_cards_against,0.002134275559077693
prematch_away_momentum_xg_for,0.001967669778039123
prematch_diff_form_5_passes_against,0.001900162532610985
prematch_home_form_5_passes_for,0.0018734887953995806
prematch_home_shot_conv_5,0.0017645082789720418
prematch_home_form_5_xg_against,0.0017632999530595049
prematch_home_form_5_pressures_for,0.0015626800258848224
prematch_away_form_5_shots_against,0.0015620302154292168
prematch_home_set_piece_share_5,0.0013193804616937247
prematch_home_form5_shots_for,0.0012405610801394522
prematch_away_form_5_set_pieces_against,0.001229011078926447
prematch_diff_form_5_defensive_actions_for,0.0010889455935468495
prematch_home_form_5_yellow_cards_for,0.000976392715756947
prematch_away_form_5_passes_for,0.0008529049000957682
prematch_diff_form_5_goals_for,0.0008272921467229696
prematch_home_form_5_passes_against,0.0007884252599677234
prematch_diff_form_5_red_cards_for,0.0007133163412545765
prematch_diff_form_5_pressures_against,0.0006811877401049581
prematch_away_rest_days,0.0006632270733820299
prematch_home_possession_share_5,0.0006447384435223331
prematch_home_form5_goals_against,0.0006441553333529569
prematch_home_form_5_pressures_against,0.0005433534392056882
prematch_diff_form_5_points,0.0005083226073547251
