feature,importance
away_score,0.471733786352965
home_score,0.37241991877103425
diff_form_5_completed_passes_for,0.08438187989793909
home_form_5_carries_final_third_against,0.007729858977567081
home_form5_xg_for,0.007455601847427797
home_form_5_passes_against,0.0067624470109381085
home_form3_points,0.006644661752119702
home_form_5_points,0.006142800101204664
diff_form_5_completed_passes_against,0.003908247919771564
away_form_5_event_share_against,0.0034682060450541854
home_form_5_xg_for,0.003113849659854106
diff_form_5_set_pieces_against,0.002718782398338244
home_form_5_passes_for,0.002541882115333161
home_form_5_completed_passes_for,0.0021896867878718447
diff_form_5_defensive_actions_for,0.0021667943171998763
home_set_piece_share_5,0.0021320195899481877
home_form_5_completed_passes_against,0.0017037772831625167
diff_form_5_carries_final_third_against,0.0016465601577245075
away_possession_share_5,0.0015101308893912394
home_form_5_shots_against,0.0011462380723989533
home_form_5_set_pieces_against,0.0011114049698680898
away_form5_goals_against,0.0010341767613740926
diff_form_5_carries_final_third_for,0.0010021010089159325
away_form_5_yellow_cards_for,0.00080736891928965
away_matches_played_before,0.0006942975943895125
home_form_5_event_share_for,0.0006728089853938664
home_form_5_event_share_against,0.00037395876402053046
home_form_5_defensive_actions_for,0.0003016806367696098
home_form_5_pressures_for,0.0002451852855326665
away_away_win_rate_5,0.00022942775003233258
diff_form_5_event_share_for,0.00021792132679862908
diff_form_5_defensive_actions_against,0.00019182283524755734
away_form_5_completed_passes_for,0.00018761446458427414
away_form_5_event_share_for,0.0001774949488866557
away_form_5_carries_final_third_against,0.00014467456845762647
away_form_5_yellow_cards_against,0.00012447767935703388
diff_form_5_passes_against,0.00011325690562518102
home_team_id,0.00011232230627655372
diff_form_5_xg_for,0.00010895684302585468
home_form_5_defensive_actions_against,8.79906297806918e-05
home_rest_days,7.779144647362249e-05
away_team_id,7.444127349258515e-05
away_form_5_set_pieces_for,5.912920557226926e-05
away_shot_conv_5,3.9717834397033705e-05
away_form_5_pressures_against,3.827077992658493e-05
home_pressure_rate_5,3.4521728986050964e-05
away_momentum_points,2.7468208125535484e-05
away_form3_goals_for,2.6721731038762454e-05
diff_form_5_shots_against,2.4946977640406965e-05
diff_form_5_passes_for,2.0219957072181758e-05
away_form3_points,1.7336700001976192e-05
away_form_5_shot_goals_for,1.6618377317539933e-05
away_form_5_red_cards_against,1.5674679967756867e-05
home_form5_points,1.2523964414138266e-05
diff_form_5_set_pieces_for,9.666485316414008e-06
home_possession_share_5,9.235567981513893e-06
home_matches_played_before,8.036865291094472e-06
home_momentum_points,6.747459945699246e-06
diff_form_5_goals_against,4.334796830348288e-06
away_form_5_xg_for,3.45155662897167e-06
home_form5_goals_against,2.647075892581929e-06
diff_form_5_red_cards_against,2.6092163859250243e-06
diff_form_5_shot_goals_against,2.432923400056326e-06
away_form_5_passes_for,2.15803268883144e-06
away_momentum_xg_for,1.6492137369583893e-06
away_set_piece_share_5,1.6473889242443323e-06
away_form_5_set_pieces_against,1.0176842800381679e-06
home_form5_goals_for,8.043497038802073e-07
away_form5_xg_for,4.1121462581506845e-07
away_rest_days,3.877555947572815e-07
away_form5_shots_for,3.2475613506054603e-07
diff_form_5_points,2.928927553325261e-07
away_form_5_defensive_actions_against,2.5782665192290555e-07
away_form_5_xg_against,2.2594196891132636e-07
home_form_5_yellow_cards_for,7.838189472387754e-08
away_form_5_defensive_actions_for,5.99449724847744e-08
home_form_5_goals_against,4.570350610371182e-08
home_momentum_goals_for,2.0969591608440588e-08
season_id,0.0
competition_id,0.0
home_home_win_rate_5,0.0
away_form_5_goals_for,0.0
home_form_5_xg_against,0.0
home_form_5_shot_goals_against,0.0
home_form_5_pressures_against,0.0
home_form_5_carries_final_third_for,0.0
home_form_5_set_pieces_for,0.0
home_form_5_goals_for,0.0
home_form_5_shot_goals_for,0.0
home_form_5_shots_for,0.0
home_form_5_red_cards_for,0.0
home_form_5_yellow_cards_against,0.0
home_form_5_red_cards_against,0.0
home_form5_shots_for,0.0
home_form3_goals_for,0.0
home_form3_goals_against,0.0
home_momentum_xg_for,0.0
home_shot_conv_5,0.0
away_form_5_pressures_for,0.0
away_form_5_completed_passes_against,0.0
away_form_5_passes_against,0.0
away_form_5_shot_goals_against,0.0
away_form_5_goals_against,0.0
away_form_5_points,0.0
away_form_5_shots_for,0.0
away_form_5_shots_against,0.0
home_away_win_rate_5,0.0
away_pressure_rate_5,0.0
away_momentum_goals_for,0.0
away_form3_goals_against,0.0
away_form5_goals_for,0.0
away_form_5_carries_final_third_for,0.0
away_form_5_red_cards_for,0.0
away_form5_points,0.0
away_home_win_rate_5,0.0
diff_form_5_pressures_for,0.0
diff_form_5_pressures_against,0.0
diff_form_5_shot_goals_for,0.0
diff_form_5_shots_for,0.0
diff_form_5_goals_for,0.0
diff_form_5_xg_against,0.0
diff_form_5_yellow_cards_for,0.0
diff_form_5_red_cards_for,0.0
diff_form_5_yellow_cards_against,0.0
diff_form_5_event_share_against,0.0
season_idx,0.0
odds_tagged,0.0
market_p_H,0.0
market_p_D,0.0
market_p_A,0.0
