feature,importance
diff_form_5_passes_for,0.38972226
diff_form_5_completed_passes_for,0.19042309
away_form_5_pressures_for,0.18858784
home_form_5_goals_against,0.03624365
home_score,0.023063608
away_score,0.02046025
home_form_5_completed_passes_for,0.015437552
diff_form_5_goals_for,0.014860022
home_form_5_shots_for,0.014824405
diff_form_5_shots_for,0.014466849
away_form_5_carries_final_third_for,0.012822605
home_form3_points,0.010510642
diff_form_5_xg_against,0.009840592
away_form_5_yellow_cards_against,0.009813148
home_form_5_carries_final_third_for,0.0060510393
diff_form_5_defensive_actions_for,0.005741416
away_form5_points,0.0043959655
away_home_win_rate_5,0.0035271973
away_form_5_xg_against,0.0034185438
home_form_5_defensive_actions_against,0.0028414547
diff_form_5_event_share_for,0.0022098066
diff_form_5_set_pieces_for,0.0021555854
diff_form_5_passes_against,0.0021300742
home_form_5_passes_for,0.0019935516
diff_form_5_pressures_against,0.0017120634
diff_form_5_yellow_cards_against,0.001481812
away_form_5_shots_against,0.0013559877
home_form_5_pressures_against,0.0010250468
home_form_5_xg_for,0.0008430285
home_form_5_xg_against,0.00082565437
away_form_5_yellow_cards_for,0.00072298566
diff_form_5_yellow_cards_for,0.0006956973
home_form_5_shots_against,0.00064620137
diff_form_5_pressures_for,0.00054944394
home_form_5_yellow_cards_against,0.0005053881
home_form_5_carries_final_third_against,0.00050467043
home_form_5_points,0.00046090508
away_team_id,0.0003424196
home_team_id,0.00032086193
home_form_5_goals_for,0.0003166769
home_form_5_defensive_actions_for,0.00027597015
away_form_5_passes_against,0.00027077273
home_form_5_pressures_for,0.00026112454
away_form_5_xg_for,0.00023509325
home_form_5_completed_passes_against,0.00019989928
home_form_5_passes_against,0.000185876
diff_form_5_shot_goals_against,0.00016466793
away_form_5_set_pieces_for,0.00016065066
home_form3_goals_for,7.892416e-05
diff_form_5_points,7.655499e-05
away_set_piece_share_5,4.7900587e-05
away_form_5_defensive_actions_for,4.3335873e-05
away_form_5_defensive_actions_against,1.3017235e-05
away_form_5_pressures_against,1.3013364e-05
away_form_5_goals_for,1.1540644e-05
home_form_5_yellow_cards_for,1.0602031e-05
home_form_5_shot_goals_against,9.994171e-06
diff_form_5_goals_against,9.411305e-06
home_shot_conv_5,9.313687e-06
away_form_5_goals_against,8.867945e-06
home_form_5_red_cards_against,8.80067e-06
home_rest_days,8.39873e-06
home_form_5_shot_goals_for,7.1946884e-06
home_form5_points,6.8913123e-06
away_form_5_shots_for,6.128599e-06
diff_form_5_defensive_actions_against,5.1266434e-06
home_form_5_set_pieces_for,4.799706e-06
diff_form_5_red_cards_for,3.7010957e-06
away_form_5_passes_for,2.708909e-06
diff_form_5_red_cards_against,1.4864435e-06
away_matches_played_before,1.4519079e-06
away_form3_goals_against,1.4352959e-06
away_form3_goals_for,1.178483e-06
diff_form_5_shots_against,9.490032e-07
diff_form_5_carries_final_third_for,8.612708e-07
away_shot_conv_5,4.7460782e-07
home_form_5_set_pieces_against,3.815367e-07
home_matches_played_before,2.8398455e-07
home_pressure_rate_5,2.7870246e-07
away_form_5_completed_passes_for,1.965975e-07
home_form_5_red_cards_for,1.557663e-07
diff_form_5_event_share_against,1.3259813e-07
home_momentum_goals_for,7.067099e-08
diff_form_5_set_pieces_against,6.497826e-08
away_form_5_points,6.1809814e-08
away_form_5_shot_goals_for,5.0376265e-08
away_form_5_red_cards_against,5.0294208e-08
away_form_5_set_pieces_against,4.076694e-08
home_form3_goals_against,3.4915477e-08
away_form_5_carries_final_third_against,2.7649666e-08
away_form_5_event_share_for,1.8498522e-08
competition_id,0.0
season_id,0.0
home_form5_xg_for,0.0
home_form_5_event_share_for,0.0
home_form_5_event_share_against,0.0
home_form5_goals_for,0.0
home_form5_goals_against,0.0
away_form_5_completed_passes_against,0.0
away_form_5_shot_goals_against,0.0
home_home_win_rate_5,0.0
home_away_win_rate_5,0.0
home_momentum_xg_for,0.0
home_momentum_points,0.0
home_possession_share_5,0.0
home_set_piece_share_5,0.0
home_form5_shots_for,0.0
away_form5_goals_for,0.0
away_form5_goals_against,0.0
away_rest_days,0.0
away_form_5_event_share_against,0.0
away_form_5_red_cards_for,0.0
away_form5_xg_for,0.0
away_momentum_points,0.0
away_away_win_rate_5,0.0
away_pressure_rate_5,0.0
away_momentum_xg_for,0.0
away_possession_share_5,0.0
away_momentum_goals_for,0.0
away_form5_shots_for,0.0
away_form3_points,0.0
diff_form_5_shot_goals_for,0.0
diff_form_5_completed_passes_against,0.0
diff_form_5_xg_for,0.0
diff_form_5_carries_final_third_against,0.0
season_idx,0.0
odds_tagged,0.0
market_p_H,0.0
market_p_D,0.0
market_p_A,0.0
