stage,ECE,bin_lo,bin_hi,n,accuracy,confidence
before,0.13255675805675804,0.4,0.5,1,0.0,0.4895396825396825
before,0.13255675805675804,0.5,0.6000000000000001,11,0.45454545454545453,0.5540396825396825
before,0.13255675805675804,0.6000000000000001,0.7000000000000001,8,0.75,0.6638134920634919
before,0.13255675805675804,0.7000000000000001,0.8,12,0.5833333333333334,0.7426865079365079
before,0.13255675805675804,0.8,0.9,1,1.0,0.8113333333333335
after,0.14066588670171892,0.30000000000000004,0.4,2,0.5,0.3860520855679352
after,0.14066588670171892,0.4,0.5,2,1.0,0.4630606307736651
after,0.14066588670171892,0.5,0.6000000000000001,13,0.6153846153846154,0.5508168871003236
after,0.14066588670171892,0.6000000000000001,0.7000000000000001,10,0.5,0.6802629603737891
after,0.14066588670171892,0.7000000000000001,0.8,6,0.8333333333333334,0.7169683962656266
