feature,mean_abs_shap
diff_form_5_defensive_actions_for,0.38241565
away_score,0.34732768
home_form_5_yellow_cards_against,0.23413318
home_score,0.14650346
away_form_5_yellow_cards_for,0.09968489
home_form_5_xg_for,0.09368935
home_form_5_yellow_cards_for,0.079677016
diff_form_5_pressures_for,0.0761916
home_form_5_goals_against,0.069622934
diff_form_5_shots_for,0.06357231
diff_form_5_yellow_cards_against,0.057871364
diff_form_5_xg_against,0.054586735
away_form_5_defensive_actions_against,0.047717255
home_team_id,0.033015672
home_rest_days,0.02611078
home_form3_points,0.02550136
away_form_5_passes_against,0.023812765
diff_form_5_completed_passes_for,0.023764374
away_form_5_passes_for,0.019850591
diff_form_5_yellow_cards_for,0.019101951
away_form_5_pressures_for,0.018875826
away_form_5_points,0.014421891
diff_form_5_points,0.014379465
home_form_5_red_cards_for,0.012739349
diff_form_5_passes_for,0.012642922
home_form_5_shots_against,0.01254035
diff_form_5_goals_against,0.011974909
diff_form_5_carries_final_third_for,0.011761313
home_form_5_completed_passes_for,0.011503056
home_form_5_shots_for,0.011388085
home_form_5_pressures_for,0.011217316
home_form_5_passes_against,0.009818454
away_form_5_xg_against,0.009762225
away_form_5_pressures_against,0.009548599
away_form_5_xg_for,0.009343386
diff_form_5_completed_passes_against,0.009081156
diff_form_5_carries_final_third_against,0.008802681
away_form_5_goals_against,0.0077273846
home_matches_played_before,0.0067968136
diff_form_5_red_cards_for,0.006734059
home_form3_goals_for,0.0064445822
home_form_5_goals_for,0.0062339334
diff_form_5_shots_against,0.006047438
away_form_5_shots_for,0.005654643
home_shot_conv_5,0.004164409
away_form_5_yellow_cards_against,0.003965409
home_form_5_shot_goals_against,0.0036814748
away_team_id,0.0036368195
away_form_5_shots_against,0.0030912687
away_form3_points,0.002955933
away_form_5_carries_final_third_against,0.0023191632
home_form_5_defensive_actions_against,0.0022715195
diff_form_5_shot_goals_for,0.002252298
home_form_5_passes_for,0.0022416401
home_form3_goals_against,0.002196937
away_form_5_goals_for,0.0020259002
away_form_5_completed_passes_for,0.0019069015
away_momentum_goals_for,0.0018743
home_possession_share_5,0.0018175605
home_form_5_completed_passes_against,0.0016449345
home_form_5_points,0.0016318206
home_pressure_rate_5,0.0014977931
away_form_5_defensive_actions_for,0.0014190547
away_form_5_set_pieces_for,0.0013591048
away_form_5_set_pieces_against,0.001235195
home_form_5_carries_final_third_against,0.0010950948
away_momentum_points,0.0010859577
home_form_5_carries_final_third_for,0.0010633197
away_form_5_red_cards_for,0.0009945504
competition_id,0.0
season_id,0.0
home_away_win_rate_5,0.0
home_momentum_points,0.0
home_momentum_goals_for,0.0
away_form_5_completed_passes_against,0.0
away_form_5_shot_goals_against,0.0
home_home_win_rate_5,0.0
away_form_5_shot_goals_for,0.0
home_momentum_xg_for,0.0
home_set_piece_share_5,0.0
home_form_5_event_share_for,0.0
home_form_5_event_share_against,0.0
home_form_5_xg_against,0.0
home_form_5_set_pieces_against,0.0
home_form_5_set_pieces_for,0.0
home_form_5_pressures_against,0.0
home_form_5_defensive_actions_for,0.0
home_form_5_red_cards_against,0.0
home_form_5_shot_goals_for,0.0
home_form5_points,0.0
home_form5_shots_for,0.0
home_form5_xg_for,0.0
home_form5_goals_for,0.0
home_form5_goals_against,0.0
away_form_5_event_share_against,0.0
away_form_5_carries_final_third_for,0.0
away_form_5_red_cards_against,0.0
away_form_5_event_share_for,0.0
away_away_win_rate_5,0.0
away_home_win_rate_5,0.0
away_set_piece_share_5,0.0
away_pressure_rate_5,0.0
away_possession_share_5,0.0
away_shot_conv_5,0.0
away_momentum_xg_for,0.0
away_form3_goals_against,0.0
away_form5_goals_against,0.0
away_form3_goals_for,0.0
away_form5_shots_for,0.0
away_form5_xg_for,0.0
away_form5_goals_for,0.0
away_matches_played_before,0.0
away_rest_days,0.0
away_form5_points,0.0
diff_form_5_pressures_against,0.0
diff_form_5_passes_against,0.0
diff_form_5_shot_goals_against,0.0
diff_form_5_xg_for,0.0
diff_form_5_goals_for,0.0
diff_form_5_set_pieces_for,0.0
diff_form_5_set_pieces_against,0.0
diff_form_5_defensive_actions_against,0.0
diff_form_5_red_cards_against,0.0
diff_form_5_event_share_for,0.0
diff_form_5_event_share_against,0.0
season_idx,0.0
odds_tagged,0.0
market_p_H,0.0
market_p_D,0.0
market_p_A,0.0
