match_order,match_id,kick_off,home_team,away_team,actual_outcome,actual_margin,p_H,p_D,p_A,market_p_H,market_p_D,market_p_A,pred_margin,n_training_matches_at_prediction,model_refit_before_match,match_rps,cumulative_avg_rps
1,3773593,2020-09-27 21:00:00,Barcelona,Villarreal,H,4.0,0.7935912144282407,0.18576451616296624,0.02064426940879305,0.6217557060086298,0.2196965889591694,0.1585477050322006,1.3768378370948555,61,True,0.02151538631031568,0.02151538631031568
2,3773466,2020-10-01 21:30:00,Celta Vigo,Barcelona,A,-3.0,0.059689363069882796,0.36211554580897126,0.5781950911211459,0.1632062173797097,0.2234370833174596,0.6133566993028305,-1.2338332634802534,62,True,0.09074110060899335,0.05612824345965452
3,3773672,2020-10-04 21:00:00,Barcelona,Sevilla,D,0.0,0.7137738882231363,0.24887936341021305,0.03734674836665074,0.6018171661844011,0.2182108431661685,0.1799719906494304,2.0157693734926156,63,True,0.25543397156136805,0.12256348616022568
4,3773587,2020-10-17 21:00:00,Getafe,Barcelona,H,1.0,0.10912006601781019,0.19891120898721346,0.6919687249949764,0.1995359628770301,0.2494199535962876,0.5510440835266821,-1.070213639937063,64,True,0.636243886571642,0.25098358626307976
5,3773585,2020-10-24 16:00:00,Barcelona,Real Madrid,A,-2.0,0.22320285177496307,0.6688046555650449,0.1079924926599919,0.4736842105263157,0.2631578947368421,0.2631578947368421,0.7764111831676657,65,True,0.4227484530957053,0.28533655962960486
6,3773386,2020-10-31 21:00:00,Deportivo Alavés,Barcelona,D,0.0,0.05381058215687619,0.3278555330798386,0.6183338847632851,0.1453000531067445,0.1988316516197557,0.6558682952734998,-1.9141198526363086,66,True,0.1926161858992588,0.26988316400788054
7,3773477,2020-11-07 16:15:00,Barcelona,Real Betis,H,3.0,0.5562103434523861,0.36942035165456083,0.0743693048930531,0.6818181818181818,0.1909090909090909,0.1272727272727272,1.4040684489252775,67,True,0.10124002638446253,0.2457912872045351
8,3773656,2020-11-21 21:00:00,Atlético Madrid,Barcelona,H,1.0,0.26427835233778973,0.32649702781402984,0.4092246198481804,0.3276325144166206,0.2714669405166285,0.4009005450667509,0.2545143822144513,68,True,0.3543755661643426,0.25936432207451104
9,3773547,2020-11-29 14:00:00,Barcelona,Osasuna,H,4.0,0.8584414188403874,0.09908996904688792,0.042468612112724714,0.7564469914040115,0.157593123209169,0.0859598853868194,1.0663064079086908,69,True,0.01092120745735185,0.23175953156149337
10,3773660,2020-12-13 21:00:00,Barcelona,Levante UD,H,1.0,0.896313236089257,0.08230498990566794,0.021381774005075183,0.7780921584478578,0.135610347615198,0.0862974939369442,1.7401641358832711,70,True,0.005604062634943137,0.20914398466883832
11,3773523,2020-12-16 21:00:00,Barcelona,Real Sociedad,H,1.0,0.7210509994505684,0.21892202007376776,0.060026980475663946,0.5968169761273209,0.2122015915119363,0.1909814323607427,1.4164943902890885,71,True,0.04070789164627627,0.19383161257587814
12,3773377,2020-12-19 16:15:00,Barcelona,Valencia,D,0.0,0.6176985243842219,0.32525437399927415,0.057047101616503976,0.730136005726557,0.1581961345740873,0.1116678596993557,1.2716440063249137,72,True,0.19240291941464444,0.19371255481244198
13,3773571,2020-12-22 22:00:00,Real Valladolid,Barcelona,A,-3.0,0.046329133367852667,0.3638579275833091,0.5898129390488382,0.1343480169764379,0.1741548368213083,0.6914971462022538,-1.4256142582756377,73,True,0.08519990678518417,0.1853654280411145
14,3773552,2021-01-03 21:00:00,Huesca,Barcelona,A,-1.0,0.0005639245740201171,0.16331632028390564,0.8361197551420744,0.1453000531067445,0.1988316516197557,0.6558682952734998,-1.1338611215374987,74,True,0.013428526332809445,0.17308422077623553
15,3764661,2021-01-06 21:00:00,Athletic Club,Barcelona,A,-1.0,0.030967853151854727,0.3689223271734384,0.6001098196747069,0.2241273729332517,0.2614819350887937,0.5143906919779547,-1.7755569305417918,75,True,0.08043558212471516,0.16690764486613416
16,3773565,2021-01-09 18:30:00,Granada,Barcelona,A,-4.0,0.119017195311675,0.21212813637738392,0.6688546683109412,0.1453287197231834,0.1799307958477508,0.6747404844290658,-0.334314362703187,76,True,0.06191116173965712,0.16034536467072938
17,3773403,2021-01-31 21:00:00,Barcelona,Athletic Club,H,1.0,0.8935178544612111,0.09249271792769644,0.013989427611092448,0.6942607775720708,0.1798466014281936,0.1258926209997355,1.5792272773475304,77,True,0.005767075701714906,0.15125252414314028
18,3773631,2021-02-07 21:00:00,Real Betis,Barcelona,A,-1.0,0.017680501418197086,0.3620361200818287,0.6202833784999742,0.1643835616438356,0.2054794520547945,0.6301369863013698,-1.831403638256293,78,True,0.07224865638689638,0.1468634203789045
19,3773526,2021-02-13 21:00:00,Barcelona,Deportivo Alavés,H,4.0,0.8995186579124558,0.09207118815470307,0.00841015393284122,0.7377049180327869,0.1573770491803278,0.1049180327868852,0.7667279363544284,79,True,0.005083615398444085,0.1394013253799329
20,3773415,2021-02-21 14:00:00,Barcelona,Cádiz,D,0.0,0.8423819398573678,0.1276666145019093,0.029951445640722888,0.8102212527267061,0.1174820816453723,0.0722966656279214,1.176507307469812,80,True,0.35525221084691555,0.15019386965328202
